id_pfam;name_pfam
PF10515|PF12924|PF12925|PF02177;APP_amyloid|APP_Cu_bd|APP_E2|APP_N
PF10515|PF12924|PF12925|PF02177|PF03494|PF00014;APP_amyloid|APP_Cu_bd|APP_E2|APP_N|Beta-APP|Kunitz_BPTI
PF06313;ACP53EA
PF05368;NmrA
PF01826;TIL
PF08138;Sex_peptide
PF13520;AA_permease_2
PF07859;Abhydrolase_3
PF00375;SDF
PF16177|PF00501;ACAS_N|AMP-binding
PF13911;AhpC-TSA_2
PF00069;Pkinase
PF16561|PF04739;AMPK1_CBM|AMPKBI
PF00571;CBS
PF04430;DUF498
PF00324;AA_permease
PF16579|PF00069;AdenylateSensor|Pkinase
PF05282;AAR2
PF07973;tRNA_SAD
PF01411|PF07973;tRNA-synt_2c|tRNA_SAD
PF05222|PF16653|PF03435;AlaDh_PNT_N|Sacchrp_dh_C|Sacchrp_dh_NADP
PF13339|PF08164;AATF-Che1|TRAUB
PF12146;Hydrolase_4
PF00169|PF00788;PH|RA
PF00664|PF00005;ABC_membrane|ABC_tran
PF08210;APOBEC_N
PF00664|PF00005|PF16185;ABC_membrane|ABC_tran|MTABC_N
PF06472|PF00005;ABC_membrane_2|ABC_tran
PF00005|PF00037|PF04068;ABC_tran|Fer4|RLI
PF00005|PF12848;ABC_tran|ABC_tran_Xtn
PF01061|PF00005;ABC2_membrane|ABC_tran
PF03109;ABC1
PF00561;Abhydrolase_1
PF09752;DUF2048
PF12407|PF00046;Abdominal-A|Homeobox
PF16839;Antimicrobial25
PF12697;Abhydrolase_6
PF07815|PF00018;Abi_HHR|SH3_1
PF07815|PF14604;Abi_HHR|SH3_9
PF08919|PF07714|PF00017|PF00018;F_actin_bind|Pkinase_Tyr|SH2|SH3_1
PF16182|PF00412|PF02209;AbLIM_anchor|LIM|VHP
PF03184|PF03221;DDE_1|HTH_Tnp_Tc5
PF02041;Auxin_BP
PF09441;Abp2
PF14705;Costars
PF00651;BTB
PF00168|PF00169|PF00620|PF00621;C2|PH|RhoGAP|RhoGEF
PF12796|PF00651;Ank_2|BTB
PF08326|PF02785|PF00289|PF00364|PF01039|PF02786;ACC_central|Biotin_carb_C|Biotin_carb_N|Biotin_lipoyl|Carboxyl_trans|CPSase_L_D2
PF00441|PF02770|PF02771;Acyl-CoA_dh_1|Acyl-CoA_dh_M|Acyl-CoA_dh_N
PF12796|PF01412|PF00169;Ank_2|ArfGap|PH
PF05875;Ceramidase
PF13000;Acatn
PF00887;ACBP
PF00887|PF12796;ACBP|Ank_2
PF03171|PF14226;2OG-FeII_Oxy|DIOX_N
PF00441|PF02770|PF02771|PF01636;Acyl-CoA_dh_1|Acyl-CoA_dh_M|Acyl-CoA_dh_N|APH
PF00135;COesterase
PF16959|PF01401;Collectrin|Peptidase_M2
PF00463;ICL
PF08674|PF00135;AChE_tetra|COesterase
PF13336|PF02550;AcetylCoA_hyd_C|AcetylCoA_hydro
PF16294|PF02037;RSB_motif|SAP
PF09027|PF11555|PF07714|PF14604;GTPase_binding|Inhibitor_Mig-6|Pkinase_Tyr|SH3_9
PF00022;Actin
PF00285|PF02629|PF00549;Citrate_synt|CoA_binding|Ligase_CoA
PF08442|PF16114;ATP-grasp_2|Citrate_bind
PF13181;TPR_8
PF00022|PF16840;Actin|ACTL7A_N
PF08442|PF16114|PF00285|PF02629|PF00549;ATP-grasp_2|Citrate_bind|Citrate_synt|CoA_binding|Ligase_CoA
PF04909;Amidohydro_2
PF08840|PF04775;BAAT_C|Bile_Hydr_Trans
PF03061|PF01852;4HBT|START
PF00173|PF00487;Cyt-b5|FA_desaturase
PF00330|PF00694;Aconitase|Aconitase_C
PF00330|PF00694|PF00829;Aconitase|Aconitase_C|Ribosomal_L21p
PF01756|PF02770|PF14749;ACOX|Acyl-CoA_dh_M|Acyl-CoA_ox_N
PF01756|PF00441|PF02770;ACOX|Acyl-CoA_dh_1|Acyl-CoA_dh_M
PF00328;His_Phos_2
PF00149|PF14008|PF16656;Metallophos|Metallophos_C|Pur_ac_phosph_N
PF00326;Peptidase_S9
PF00550;PP-binding
PF07222;PBP_sp32
PF10263;SprT-like
PF00089;Trypsin
PF16177|PF00501|PF13193;ACAS_N|AMP-binding|AMP-binding_C
PF00501|PF13360|PF13570;AMP-binding|PQQ_2|PQQ_3
PF00501|PF00550|PF13360|PF13570;AMP-binding|PP-binding|PQQ_2|PQQ_3
PF00307|PF08726|PF00435;CH|EFhand_Ca_insen|Spectrin
PF00307|PF13405|PF08726|PF00435;CH|EF-hand_6|EFhand_Ca_insen|Spectrin
PF01064|PF00069|PF08515;Activin_recp|Pkinase|TGF_beta_GS
PF07714|PF08515;Pkinase_Tyr|TGF_beta_GS
PF01064|PF07714|PF08515;Activin_recp|Pkinase_Tyr|TGF_beta_GS
PF01756|PF00441|PF02770|PF14749;ACOX|Acyl-CoA_dh_1|Acyl-CoA_dh_M|Acyl-CoA_ox_N
PF07687|PF01546;M20_dimer|Peptidase_M20
PF04952;AstE_AspA
PF00708;Acylphosphatase
PF08516|PF00200|PF01562|PF01421;ADAM_CR|Disintegrin|Pep_M12B_propep|Reprolysin
PF08516|PF00200|PF07974|PF01562|PF01421;ADAM_CR|Disintegrin|EGF_2|Pep_M12B_propep|Reprolysin
PF16698|PF00200;ADAM17_MPD|Disintegrin
PF16698|PF00200|PF01562;ADAM17_MPD|Disintegrin|Pep_M12B_propep
PF00962|PF08451;A_deaminase|A_deaminase_N
PF00249|PF00569;Myb_DNA-binding|ZZ
PF02137|PF00035;A_deamin|dsrm
PF02913|PF01565;FAD-oxidase_C|FAD_binding_4
PF00383;dCMP_cyt_deam_1
PF14437;MafB19-deam
PF16214|PF00211;AC_N|Guanylate_cyc
PF16214|PF06327|PF00211;AC_N|DUF1053|Guanylate_cyc
PF00596;Aldolase_II
PF00241;Cofilin_ADF
PF10545;MADF_DNA_bdg
PF03856;SUN
PF00648;Peptidase_C2
PF08240|PF00107;ADH_N|ADH_zinc_N
PF00465;Fe-ADH
PF00106;adh_short
PF15202;Adipogenin
PF00386;C1q
PF00386|PF01391;C1q|Collagen
PF11559;ADIP
PF00294;PfkB
PF00214;Calc_CGRP_IAPP
PF01803;LIM_bind
PF08513;LisH
PF04587;ADP_PFK_GK
PF01648;ACPS
PF03747;ADP_ribosyl_GH
PF03006;HlyIII
PF04683|PF16550;Proteasom_Rpn13|RPN13_C
PF07992;Pyr_redox_2
PF00626;Gelsolin
PF01562|PF01421|PF00090;Pep_M12B_propep|Reprolysin|TSP_1
PF00153;Mito_carr
PF04750;Far-17a_AIG1
PF00111;Fer2
PF00754|PF00246;F5_F8_type_C|Peptidase_M14
PF07847;PCO_ADO
PF00057|PF00629;Ldl_recept_a|MAM
PF00929;RNase_T
PF03318;ETX_MTX2
PF02567;PhzC-PhzF
PF03920;TLE_N
PF01483|PF00082;P_proprotein|Peptidase_S8
PF15017;WRNPLPNID
PF03366;YEATS
PF01843|PF00498|PF00595|PF00788;DIL|FHA|PDZ|RA
PF00273;Serum_albumin
PF14884;EFF-AFF
PF05110;AF-4
PF03969;AFG1_ATPase
PF00004;AAA
PF00004|PF06480|PF01434;AAA|FtsH_ext|Peptidase_M41
PF15045;Clathrin_bdg
PF04922;DIE2_ALG10
PF16499|PF17450;Melibiase_2|Melibiase_2_C
PF12796|PF01412|PF00071;Ank_2|ArfGap|Ras
PF00454|PF00792|PF02192|PF00794|PF00613;PI3_PI4_kinase|PI3K_C2|PI3K_p85B|PI3K_rbd|PI3Ka
PF00498|PF01585;FHA|G-patch
PF12833;HTH_18
PF00781;DAGK_cat
PF01055|PF16863;Glyco_hydro_31|NtCtMGAM_N
PF02878|PF00408;PGM_PMM_I|PGM_PMM_IV
PF02878|PF02880|PF00408;PGM_PMM_I|PGM_PMM_III|PGM_PMM_IV
PF08699|PF16488|PF16487|PF16486|PF02170|PF02171;ArgoL1|ArgoL2|ArgoMid|ArgoN|PAZ|Piwi
PF00002;7tm_2
PF00002|PF01825|PF13855;7tm_2|GPS|LRR_8
PF01825|PF07679|PF13855;GPS|I-set|LRR_8
PF00002|PF01825|PF07679|PF13855;7tm_2|GPS|I-set|LRR_8
PF00002|PF16489|PF01825|PF02793|PF00090;7tm_2|GAIN|GPS|HRM|TSP_1
PF00002|PF16489|PF01825|PF00090;7tm_2|GAIN|GPS|TSP_1
PF00002|PF12662|PF07645|PF01825;7tm_2|cEGF|EGF_CA|GPS
PF00002|PF07645|PF01825;7tm_2|EGF_CA|GPS
PF00002|PF07645|PF16489|PF01825;7tm_2|EGF_CA|GAIN|GPS
PF00002|PF01825|PF01390;7tm_2|GPS|SEA
PF00002|PF01825|PF02793;7tm_2|GPS|HRM
PF00002|PF16489|PF01825|PF07679|PF00047|PF01390;7tm_2|GAIN|GPS|I-set|ig|SEA
PF00002|PF01825|PF00354;7tm_2|GPS|Pentaxin
PF00002|PF00431|PF01825|PF00354;7tm_2|CUB|GPS|Pentaxin
PF00008|PF00050|PF07648|PF00053|PF00054|PF03146|PF01390;EGF|Kazal_1|Kazal_2|Laminin_EGF|Laminin_G_1|NtA|SEA
PF00008|PF00050|PF07648|PF00053|PF00054|PF01390;EGF|Kazal_1|Kazal_2|Laminin_EGF|Laminin_G_1|SEA
PF00002|PF16489|PF02140|PF01825|PF02793|PF02354|PF02191;7tm_2|GAIN|Gal_Lectin|GPS|HRM|Latrophilin|OLF
PF05039;Agouti
PF00128|PF08323|PF00534;Alpha-amylase|Glyco_transf_5|Glycos_transf_1
PF00202;Aminotran_3
PF01486|PF00319;K-box|SRF-TF
PF00010|PF00989;HLH|PAS
PF15735;DUF4683
PF00018|PF00400;SH3_1|WD40
PF00989|PF08447;PAS|PAS_3
PF00010|PF00989|PF08447;HLH|PAS|PAS_3
PF09229|PF08327;Aha1_N|AHSA1
PF09236;AHSP
PF14186|PF08910;Aida_C2|Aida_N
PF14721|PF07992;AIF_C|Pyr_redox_2
PF07992|PF14759|PF00355;Pyr_redox_2|Reductase_C|Rieske
PF10315;Aim19
PF02760|PF02758;HIN|PYRIN
PF01588;tRNA_bind
PF16780|PF00043;AIMP2_LysRS_bd|GST_C
PF00038|PF04732;Filament|Filament_head
PF00254;FKBP_C
PF00098;zf-CCHC
PF03172|PF00628|PF01342;HSR|PHD|SAND
PF15298;AJAP1_PANP_C
PF00615;RGS
PF10522|PF03832;RII_binding_1|WSK
PF14469;AKAP28
PF10470;AKAP7_RIRII_bdg
PF10469|PF10470;AKAP7_NLS|AKAP7_RIRII_bdg
PF00013|PF00567;KH_1|TUDOR
PF15304;AKAP2_C
PF05716|PF10522;AKAP_110|RII_binding_1
PF04988;AKAP95
PF10495;PACT_coil_coil
PF00023|PF12796;Ank|Ank_2
PF06377;Adipokin_hormo
PF01485|PF13445;IBR|zf-RING_UBOX
PF00023|PF01485;Ank|IBR
PF08213;DUF1713
PF12443;AKNA
PF00169|PF00621|PF10522;PH|RhoGEF|RII_binding_1
PF12796|PF01529;Ank_2|DHHC
PF00169|PF00069|PF00433;PH|Pkinase|Pkinase_C
PF00179;UQ_con
PF15798;PRAS
PF00696|PF13840;AA_kinase|ACT_7
PF00171|PF02911|PF00551|PF00550;Aldedh|Formyl_trans_C|Formyl_trans_N|PP-binding
PF02493|PF02204;MORN|VPS9
PF01124;MAPEG
PF00274;Glycolytic
PF03062;MBOAT
PF00004|PF09336;AAA|Vps4_C
PF01116;F_bP_aldolase
PF15924|PF00534;ALG11_N|Glycos_transf_1
PF03901;Glyco_transf_22
PF04101|PF02338;Glyco_tran_28_C|OTU
PF08660;Alg14
PF13439|PF00534;Glyco_transf_4|Glycos_transf_1
PF05208;ALG3
PF00535;Glycos_transf_2
PF03155;Alg6_Alg8
PF03155|PF04493;Alg6_Alg8|Endonuclease_5
PF00696|PF00171;AA_kinase|Aldedh
PF13532;2OG-FeII_Oxy_2
PF13532|PF09004|PF08241;2OG-FeII_Oxy_2|DUF1891|Methyltransf_11
PF13532|PF09004|PF08241|PF00076;2OG-FeII_Oxy_2|DUF1891|Methyltransf_11|RRM_1
PF15129;FAM150
PF04116;FA_hydroxylase
PF00629|PF07714;MAM|Pkinase_Tyr
PF04115;Ureidogly_lyase
PF03561;Allantoicase
PF05953;Allatostatin
PF15309;ALMS_motif
PF00305|PF01477;Lipoxygenase|PLAT
PF04030|PF01565;ALO|FAD_binding_4
PF01302|PF14560;CAP_GLY|Ubiquitin_2
PF12348;CLASP_N
PF04130;Spc97_Spc98
PF12612;TFCD_C
PF12709;Kinetocho_Slk19
PF02816;Alpha_kinase
PF02816|PF07679;Alpha_kinase|I-set
PF00842|PF01168;Ala_racemase_C|Ala_racemase_N
PF13865|PF00076;FoP_duplication|RRM_1
PF04777;Evr1_Alr
PF02493|PF00415|PF00621|PF02204;MORN|RCC1|RhoGEF|VPS9
PF13855|PF01462;LRR_8|LRRNT
PF00046|PF03826;Homeobox|OAR
PF13949|PF03097;ALIX_LYPXL_bnd|BRO1
PF02752|PF00339;Arrestin_C|Arrestin_N
PF02515;CoA_transf_3
PF05111;Amelin
PF00014|PF00061;Kunitz_BPTI|Lipocalin
PF03712|PF01082|PF01436;Cu2_monoox_C|Cu2_monooxygen|NHL
PF02948;Amelogenin
PF09422;WTX
PF01871;AMMECR1
PF02845|PF13639;CUE|zf-RING_2
PF00047|PF00560|PF13855;ig|LRR_1|LRR_8
PF00047|PF13855;ig|LRR_8
PF13516;LRR_6
PF14828;Amnionless
PF12240;Angiomotin_C
PF09127|PF01433;Leuk-A4-hydro_C|Peptidase_M1
PF11838|PF01433;ERAP1_C|Peptidase_M1
PF03114|PF14604;BAR|SH3_9
PF00883;Peptidase_M17
PF00883|PF02789;Peptidase_M17|Peptidase_M17_N
PF06401|PF06400;Alpha-2-MRAP_C|Alpha-2-MRAP_N
PF00320;GATA
PF00909;Ammonium_transp
PF15757;Amelotin
PF05154;TM2
PF00128|PF02806;Alpha-amylase|Alpha-amylase_C
PF00128|PF09260;Alpha-amylase|DUF1966
PF00723;Glyco_hydro_15
PF07998;Peptidase_M54
PF12796|PF11904;Ank_2|GPCR_chapero_1
PF12796|PF12001;Ank_2|DUF3496
PF05089|PF12972|PF12971;NAGLU|NAGLU_C|NAGLU_N
PF00307|PF10541;CH|KASH
PF08672|PF00888;ANAPC2|Cullin
PF01363;FYVE
PF00272;Cecropin
PF02166|PF00104|PF00105;Androgen_recep|Hormone_recep|zf-C4
PF00212;ANP
PF00023|PF12796|PF00651|PF01363;Ank|Ank_2|BTB|FYVE
PF00074;RnaseA
PF03372;Exo_endo_phos
PF00147;Fibrinogen_C
PF00046|PF16878;Homeobox|SIX1_SD
PF08174|PF00169;Anillin|PH
PF00023|PF12796|PF00531|PF00791;Ank|Ank_2|Death|ZU5
PF12796|PF13606|PF00531|PF00791;Ank_2|Ank_3|Death|ZU5
PF12796|PF00514;Ank_2|Arm
PF12796|PF00013;Ank_2|KH_1
PF07260;ANKH
PF12796|PF13606|PF00013;Ank_2|Ank_3|KH_1
PF12796|PF07714;Ank_2|Pkinase_Tyr
PF00023|PF12796|PF07714;Ank|Ank_2|Pkinase_Tyr
PF03020;LEM
PF12796|PF03020;Ank_2|LEM
PF01693|PF03020;Cauli_VI|LEM
PF12796|PF00536;Ank_2|SAM_1
PF00023|PF12796|PF00536;Ank|Ank_2|SAM_1
PF00240;ubiquitin
PF12796|PF02493|PF01753;Ank_2|MORN|zf-MYND
PF12796|PF01753;Ank_2|zf-MYND
PF08174|PF16018|PF00169;Anillin|Anillin_N|PH
PF05175|PF14604;MTS|SH3_9
PF05185|PF17286|PF17285;PRMT5|PRMT5_C|PRMT5_TIM
PF04547;Anoctamin
PF16178|PF04547;Anoct_dimer|Anoctamin
PF01094|PF00211|PF07714;ANF_receptor|Guanylate_cyc|Pkinase_Tyr
PF00023|PF12796|PF00013;Ank|Ank_2|KH_1
PF00023|PF12796|PF12001;Ank|Ank_2|DUF3496
PF00023|PF12796|PF13606|PF02204;Ank|Ank_2|Ank_3|VPS9
PF12796|PF02204;Ank_2|VPS9
PF15222;KAR
PF12796|PF00640|PF00536|PF07647;Ank_2|PID|SAM_1|SAM_2
PF05586|PF05587|PF00092;Ant_C|Anth_Ig|VWA
PF00191;Annexin
PF00657|PF03489;Lipase_GDSL|SapB_2
PF01179|PF02727|PF02728;Cu_amine_oxid|Cu_amine_oxidN2|Cu_amine_oxidN3
PF01786;AOX
PF01315|PF02738|PF03450|PF00941|PF00111|PF01799;Ald_Xan_dh_C|Ald_Xan_dh_C2|CO_deh_flav_C|FAD_binding_5|Fer2|Fer2_2
PF07651;ANTH
PF15745;AP1AR
PF01602|PF02883|PF09066;Adaptin_N|Alpha_adaptinC2|B2-adapt-app_C
PF00928|PF01217;Adap_comp_sub|Clat_adaptor_s
PF00170|PF08601;bZIP_1|PAP1
PF01602|PF02296|PF02883;Adaptin_N|Alpha_adaptin_C|Alpha_adaptinC2
PF03299;TF_AP-2
PF01602|PF14796|PF14797;Adaptin_N|AP3B1_C|SEEEED
PF01417;ENTH
PF01602|PF09066;Adaptin_N|B2-adapt-app_C
PF01602|PF14807;Adaptin_N|AP4E_app_platf
PF15001;AP-5_subunit_s1
PF14764;SPG48
PF00619|PF00931|PF00400;CARD|NB-ARC|WD40
PF12894|PF00619|PF00931|PF00400;ANAPC4_WD40|CARD|NB-ARC|WD40
PF00595|PF00640;PDZ|PID
PF00640|PF00397;PID|WW
PF03256;ANAPC10
PF12861;zf-ANAPC11
PF05839;Apc13p
PF15243;ANAPC15
PF05841;Apc15p
PF17256;ANAPC16
PF12859;ANAPC1
PF12859|PF01851;ANAPC1|PC_rep
PF00515|PF13181;TPR_1|TPR_8
PF12896|PF12894;ANAPC4|ANAPC4_WD40
PF12862;ANAPC5
PF04049|PF13181;ANAPC8|TPR_8
PF14921;APCDDC
PF05956|PF16689|PF05923|PF00514|PF05924;APC_basic|APC_N_CC|APC_r|Arm|SAMP
PF05972|PF05956|PF16689|PF05923|PF00514|PF05937|PF05924;APC_15aa|APC_basic|APC_N_CC|APC_r|Arm|EB1_binding|SAMP
PF15360;Apelin
PF03372|PF06839;Exo_endo_phos|zf-GRF
PF04110;APG12
PF06105;Aph-1
PF01230;HIT
PF00245;Alk_phosphatase
PF05918;API5
PF00130|PF00564|PF00069|PF00433;C1_1|PB1|Pkinase|Pkinase_C
PF05461;ApoL
PF10283;zf-CCHH
PF10515|PF12924|PF12925|PF02177|PF00014;APP_amyloid|APP_Cu_bd|APP_E2|APP_N|Kunitz_BPTI
PF06448|PF09172|PF01347|PF00094;DUF1081|DUF1943|Vitellogenin_N|VWD
PF03088;Str_synth
PF01261;AP_endonuc_2
PF01442;Apolipoprotein
PF04711;ApoA-II
PF12491|PF06448|PF09172|PF01347;ApoB100_C|DUF1081|DUF1943|Vitellogenin_N
PF04691;ApoC-I
PF05355;Apo-CII
PF05778;Apo-CIII
PF15119;APOC4
PF08212;Lipocalin_2
PF15148;Apolipo_F
PF00084|PF09014;Sushi|Sushi_2
PF11032;ApoM
PF10231;DUF2315
PF00241|PF00018|PF14604;Cofilin_ADF|SH3_1|SH3_9
PF12716;Apq12
PF15150;PMAIP1
PF00046|PF00412;Homeobox|LIM
PF02230;Abhydrolase_2
PF16278;zf-C2HE
PF00498|PF16278;FHA|zf-C2HE
PF01230|PF16278;HIT|zf-C2HE
PF00156;Pribosyltran
PF01414|PF00008;DSL|EGF
PF06079;Apyrase
PF00230;MIP
PF16399;Aquarius_N
PF00025;Arf
PF11527;ARL2_Bind_BART
PF10500;SR-25
PF15062;ARL6IP6
PF00130|PF07714|PF02196;C1_1|Pkinase_Tyr|RBD
PF01412|PF00169|PF00788|PF00620|PF00536;ArfGap|PH|RA|RhoGAP|SAM_1
PF01412|PF00169|PF00788|PF00620|PF07647;ArfGap|PH|RA|RhoGAP|SAM_2
PF05920;Homeobox_KN
PF09692;Arb1
PF00169|PF00069|PF00615;PH|Pkinase|RGS
PF01951;Archease
PF00583;Acetyltransf_1
PF00630|PF00632;Filamin|HECT
PF06456;Arfaptin
PF07392;P19Arf_N
PF00130|PF00621;C1_1|RhoGEF
PF15441;ARHGEF5_35
PF00696|PF04768|PF01118;AA_kinase|NAT|Semialdhyde_dh
PF00491;Arginase
PF01960;ArgJ
PF15346;ARGLU
PF00621|PF00018|PF07653;RhoGEF|SH3_1|SH3_2
PF03114|PF00621|PF07653|PF14604;BAR|RhoGEF|SH3_2|SH3_9
PF09128|PF00621;RGS-like|RhoGEF
PF00169|PF00621|PF00018;PH|RhoGEF|SH3_1
PF15441|PF00621|PF14604;ARHGEF5_35|RhoGEF|SH3_9
PF16523|PF00307|PF00169|PF00621|PF14604;betaPIX_CC|CH|PH|RhoGEF|SH3_9
PF00307|PF00169|PF00621|PF07653;CH|PH|RhoGEF|SH3_2
PF16523|PF00307|PF00169|PF00621|PF07653;betaPIX_CC|CH|PH|RhoGEF|SH3_2
PF16652|PF00621;PH_13|RhoGEF
PF00595|PF09128|PF00621;PDZ|RGS-like|RhoGEF
PF01388|PF12031;ARID|BAF250_C
PF01485|PF00097;IBR|zf-C3HC4
PF01388|PF08169|PF11717;ARID|RBB1NT|Tudor-knot
PF01388|PF02257;ARID|RFX_DNA_binding
PF00271|PF00176;Helicase_C|SNF2_N
PF07714|PF07653;Pkinase_Tyr|SH3_2
PF00025|PF15840;Arf|ARL17
PF14698|PF00206;ASL_C2|Lyase_1
PF04826;Arm_2
PF10208;Armet
PF01937;DUF89
PF01761|PF01487|PF00275|PF08501|PF01202;DHQ_synthase|DHquinase_I|EPSP_synthase|Shikimate_dh_N|SKI
PF01264;Chorismate_synt
PF00793;DAHP_synth_1
PF01474;DAHP_synth_2
PF15684;AROS
PF04667;Endosulfine
PF01424|PF12752;R3H|SUZ
PF04699;P16-Arc
PF04045;P34-Arc
PF04062;P21-Arc
PF05856;ARPC4
PF10574;UPF0552
PF00884;Sulfatase
PF04161;Arv1
PF00557;Peptidase_M24
PF04573;SPC22
PF00797;Acetyltransf_2
PF04729;ASF1_hist_chap
PF13847;Methyltransf_31
PF17048;Ceramidse_alk_C
PF02275|PF15508;CBAH|NAAA-beta
PF04734|PF17048;Ceramidase_alk|Ceramidse_alk_C
PF12796|PF01412|PF00169|PF00018;Ank_2|ArfGap|PH|SH3_1
PF12796|PF01412|PF00169|PF14604;Ank_2|ArfGap|PH|SH3_9
PF12796|PF07525;Ank_2|SOCS_box
PF00023|PF12796|PF07525;Ank|Ank_2|SOCS_box
PF00023|PF07525;Ank|SOCS_box
PF12796|PF13606|PF07525;Ank_2|Ank_3|SOCS_box
PF10469|PF00013;AKAP7_NLS|KH_1
PF00270|PF00271|PF02889;DEAD|Helicase_C|Sec63
PF00619|PF02758;CARD|PYRIN
PF00013|PF16544;KH_1|STAR_dimer
PF01112;Asparaginase_2
PF00059|PF03954;Lectin_C|Lectin_N
PF01426|PF00439|PF00856;BAH|Bromodomain|SET
PF01426|PF00856;BAH|SET
PF00622;SPRY
PF15323;Ashwin
PF00858;ASC
PF08655;DASH_Ask1
PF11790;Glyco_hydro_cc
PF00149|PF05184;Metallophos|SapB_1
PF16864|PF02545|PF00891;Dimerisation2|Maf|Methyltransf_2
PF16864|PF00891;Dimerisation2|Methyltransf_2
PF02374;ArsA_ATPase
PF03590;AsnA
PF01037;AsnC_trans_reg
PF00733|PF13537;Asn_synthase|GATase_7
PF00394|PF07731|PF07732;Cu-oxidase|Cu-oxidase_2|Cu-oxidase_3
PF00026;Asp
PF11470|PF00789;TUG-UBL1|UBX
PF01958|PF03447;DUF108|NAD_binding_3
PF00710;Asparaginase
PF05118;Asp_Arg_Hydrox
PF05279|PF05118;Asp-B-Hydro_N|Asp_Arg_Hydrox
PF05279|PF05118|PF13181;Asp-B-Hydro_N|Asp_Arg_Hydrox|TPR_8
PF15780|PF00307|PF00612;ASH|CH|IQ
PF12796|PF00018;Ank_2|SH3_1
PF00764;Arginosuc_synth
PF00752;XPG_N
PF03669;UPF0139
PF01400;Astacin
PF01823;MACPF
PF05253;zf-U11-48K
PF13919|PF05066|PF13922;ASXH|HARE-HTH|PHD_3
PF13919|PF13922;ASXH|PHD_3
PF00023|PF12796|PF07647;Ank|Ank_2|SAM_2
PF16212|PF16209;PhoLip_ATPase_C|PhoLip_ATPase_N
PF00689|PF00690;Cation_ATPase_C|Cation_ATPase_N
PF12409;P5-ATPase
PF00689|PF00690|PF12409;Cation_ATPase_C|Cation_ATPase_N|P5-ATPase
PF00287;Na_K-ATPase
PF12424|PF00689|PF00690;ATP_Ca_trans_C|Cation_ATPase_C|Cation_ATPase_N
PF05405;Mt_ATP-synt_B
PF00137;ATP-synt_C
PF04718;ATP-synt_G
PF08313;SCA7
PF08313|PF08209;SCA7|Sgf11
PF00004|PF00439;AAA|Bromodomain
PF00004|PF12037;AAA|DUF3523
PF05301;Acetyltransf_16
PF12496|PF13716;BNIP2|CRAL_TRIO_2
PF04377|PF04376;ATE_C|ATE_N
PF04568;IATP
PF00170|PF02173;bZIP_1|pKID
PF07716;bZIP_2
PF03987;Autophagy_act_C
PF10377;ATG11
PF10033;ATG13
PF10186;Atg14
PF01764;Lipase_3
PF04108;APG17
PF12063|PF00069;DUF3543|Pkinase
PF00787;PX
PF11700;ATG22
PF13329|PF09333|PF12624;ATG2_CAD|ATG_C|Chorein_N
PF03987|PF10381|PF03986;Autophagy_act_C|Autophagy_C|Autophagy_N
PF03416;Peptidase_C54
PF04106;APG5
PF16420|PF00899;ATG7_N|ThiF
PF02991;Atg8
PF04109;APG9
PF07855;ATG101
PF07679|PF08686|PF00090;I-set|PLAC|TSP_1
PF01035;DNA_binding_1
PF05986|PF08686|PF00090;ADAM_spacer1|PLAC|TSP_1
PF05986|PF01759|PF00090;ADAM_spacer1|NTR|TSP_1
PF02263;GBP
