ortho_cluster	name_cluster
EOG092606UH	P-type ATPase
EOG092606UX	Nucleoporin, Nup133/Nup155-like, N-terminal
EOG092606W6	B-block binding subunit of TFIIIC
EOG092606WZ	P-loop containing nucleoside triphosphate hydrolase
EOG092606YE	Similarity:Contains 8 KH domains.
EOG092606ZM	Dynein heavy chain
EOG0926071Q	P-loop containing nucleoside triphosphate hydrolase
EOG0926071R	Sec8 exocyst complex component specific domain
EOG0926073O	DNA topoisomerase, type IIA
EOG0926074Y	Coatomer alpha subunit
EOG09260779	Tetratricopeptide repeat
EOG0926077L	TRAPP II complex, Trs120
EOG09260787	P-loop containing nucleoside triphosphate hydrolase
EOG0926079Q	Condensin subunit 1
EOG092607C9	Similarity:Contains 6 ANK repeats.
EOG092607CA	DNA-directed RNA polymerase
EOG092607FZ	Peptidase M16 domain
EOG092607HR	Transmembrane:Helical
EOG092607OB	Similarity:Contains 5 ANK repeats.
EOG092607OQ	WD40-repeat-containing domain
EOG092607QZ	Alpha-mannosidase
EOG092607TG	Pentatricopeptide repeat
EOG092607X6	Leucine-rich repeat domain, L domain-like
EOG092607ZE	WD40 repeat
EOG092607ZS	Chromo domain
EOG0926084H	Ankyrin repeat-containing domain
EOG0926084Q	SNF2-related, N-terminal domain
EOG0926088F	Autophagy-related protein 11
EOG092608AE	P-loop containing nucleoside triphosphate hydrolase
EOG092608AV	Armadillo-type fold
EOG092608C4	Phosphoribosylformylglycinamidine synthase
EOG092608FZ	DNA-directed RNA polymerase
EOG092608GK	Kelch-type beta propeller
EOG092608L0	Similarity:Contains 1 SH3 domain.
EOG092608NU	Armadillo-type fold
EOG092608P2	Similarity:Belongs to the ABC transporter superfamily.
EOG092608RH	P-loop containing nucleoside triphosphate hydrolase
EOG092608SX	Similarity:Belongs to the GDA1/CD39 NTPase family.
EOG092608T8	Armadillo-like helical
EOG092608WI	DNA repair protein, Rev1
EOG092608WU	Similarity:Contains 1 C2 domain.
EOG092608Y6	WD40 repeat, conserved site
EOG092608ZS	Hydroxymethylglutaryl-CoA reductase, class I/II
EOG0926091P	ATP-grasp fold
EOG0926092K	Isoleucine-tRNA ligase
EOG0926092O	Transmembrane:Helical
EOG09260931	WD40 repeat
EOG0926094P	Male sterility, NAD-binding
EOG0926095O	Armadillo-type fold
EOG0926097G	Similarity:Belongs to the ABC transporter superfamily.
EOG0926099C	Similarity:Contains USP domain.
EOG092609B2	Similarity:Contains 1 PH domain.
EOG092609CK	Ras GTPase-activating protein
EOG092609EC	Similarity:Contains 2 C2 domains.
EOG092609HF	Similarity:Belongs to the mitochondrial carrier (TC 2.A.29) family.
EOG092609JB	Isoleucine-tRNA ligase
EOG092609LI	Structural maintenance of chromosomes protein
EOG092609LR	GRAM domain
EOG092609NT	RNA recognition motif domain
EOG092609O9	Similarity:Contains HECT (E6AP-type E3 ubiquitin-protein ligase) domain.
EOG092609OQ	Hid-1/Ecm30
EOG092609P9	WD40 repeat
EOG092609RF	WD40 repeat
EOG092609VS	Transmembrane:Helical
EOG092609YT	P-type ATPase
EOG09260A1Y	DNA-directed RNA polymerase N-terminal domain
EOG09260A27	Transmembrane:Helical
EOG09260A2D	WD40 repeat
EOG09260A57	Ribosome control protein 1
EOG09260A6Q	WD40-repeat-containing domain
EOG09260A98	WD40 repeat
EOG09260A9Q	Similarity:Contains 7 ANK repeats.
EOG09260AB8	Similarity:Belongs to the peptidase M16 family.
EOG09260ABP	Nuclear pore protein 84/107
EOG09260ABY	CRM1 C-terminal domain
EOG09260AC3	Active Site:Proton acceptor
EOG09260AD4	Domain of unknown function DUF1708
EOG09260AEC	WD40 repeat
EOG09260AF1	Similarity:Contains 1 histidine kinase domain.
EOG09260AGG	P-loop containing nucleoside triphosphate hydrolase
EOG09260AHL	WD40 repeat
EOG09260ANO	SAC domain
EOG09260AOA	Similarity:Contains 1 basic helix-loop-helix (bHLH) domain.
EOG09260APA	Armadillo-type fold
EOG09260AQB	Similarity:Belongs to the RNR ribonuclease family.
EOG09260ARE	Similarity:Belongs to the ABC transporter superfamily.
EOG09260AYD	Mediator complex, subunit Med16
EOG09260AZA	2-oxoglutarate dehydrogenase E1 component
EOG09260AZK	DNA repair protein
EOG09260AZM	P-type ATPase
EOG09260B3H	XPG/Rad2 endonuclease
EOG09260B3X	Glycoside hydrolase family 31
EOG09260B55	Zinc finger, C2H2
EOG09260B5D	Similarity:Contains 1 PH domain.
EOG09260B65	Armadillo-type fold
EOG09260B6J	PDZ domain
EOG09260B71	Similarity:Contains 1 SH3 domain.
EOG09260BAQ	BRCT domain
EOG09260BBX	Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
EOG09260BFE	Temperature dependent protein affecting M2 dsRNA replication, N-terminal
EOG09260BL6	Zinc finger, CCHC-type
EOG09260BM1	DNA-directed DNA polymerase, family B
EOG09260BRA	Kinesin-like protein
EOG09260BSW	Ribosomal protein S5 domain 2-type fold
EOG09260BUL	Structural maintenance of chromosomes protein
EOG09260BYL	AMP deaminase
EOG09260BZ0	MIF4G-like, type 3
EOG09260C2V	Symplekin/Pta1
EOG09260C3I	SAC domain
EOG09260C4H	Aminoacyl-tRNA synthetase, class Ia
EOG09260C5W	Armadillo-type fold
EOG09260C6P	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260C8L	BIR repeat
EOG09260C9U	Uncharacterised protein family UPF0592
EOG09260CBD	Armadillo-type fold
EOG09260CKC	Similarity:Contains 3 LIM zinc-binding domains.
EOG09260CLO	Tetrahydrofolate dehydrogenase/cyclohydrolase
EOG09260CMZ	Tetratricopeptide repeat
EOG09260CUY	hypothetical protein
EOG09260CWO	Protein kinase domain
EOG09260CY1	Similarity:Contains fork-head DNA-binding domain.
EOG09260CY3	Kynurenine 3-monooxygenase
EOG09260D02	Transmembrane:Helical
EOG09260D0L	P-type ATPase
EOG09260D4L	Mad3/Bub1 homology region 1
EOG09260D7U	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260D7V	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260D9K	DNA replication checkpoint mediator, MRC1 domain
EOG09260DBG	Pyridoxal phosphate-dependent transferase
EOG09260DCF	Glycogen/starch/alpha-glucan phosphorylase
EOG09260DFH	Similarity:Belongs to the peptidase M16 family.
EOG09260DFJ	Transmembrane:Helical
EOG09260DFY	P-type ATPase
EOG09260DI2	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260DKC	Aconitate hydratase, mitochondrial
EOG09260DP1	DNA mismatch repair protein MutS, N-terminal
EOG09260DUR	PX-associated domain
EOG09260DUW	Armadillo-type fold
EOG09260DXP	DEAD/DEAH box helicase domain
EOG09260DZQ	EF-hand domain
EOG09260E1R	Similarity:Contains DH (DBL-homology) domain.
EOG09260E2O	WD40 repeat
EOG09260E2Q	Transmembrane:Helical
EOG09260E7D	Transmembrane:Helical
EOG09260E8K	NAD-glutamate dehydrogenase
EOG09260EA9	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260EAZ	Tetratricopeptide repeat
EOG09260EE7	WD40 repeat
EOG09260EET	Flocculin type 3 repeat
EOG09260EGZ	CBM21 (carbohydrate binding type-21) domain
EOG09260EOI	WD40-repeat-containing domain
EOG09260EPQ	DNA mismatch repair MutS
EOG09260EPS	Nucleoporin, Nup133/Nup155-like, N-terminal
EOG09260EQD	WD40-repeat-containing domain
EOG09260ERO	Ubiquitin-activating enzyme E1
EOG09260ETR	GNAT domain
EOG09260EU1	Zinc finger, PHD-type
EOG09260EVZ	Similarity:Contains USP domain.
EOG09260EZT	Phospholipid methyltransferase
EOG09260F1L	Zinc finger, RING-type
EOG09260F3E	WD40 repeat
EOG09260FA7	DNA ligase, ATP-dependent
EOG09260FFP	CheY-like superfamily
EOG09260FKU	Similarity:Belongs to the cullin family.
EOG09260FL2	Vps16, C-terminal
EOG09260FMW	Histidine phosphatase superfamily
EOG09260FPA	Rapamycin-insensitive companion of mTOR, domain 4
EOG09260FQ9	Transmembrane:Helical
EOG09260FT8	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260FTH	alpha-1,2-Mannosidase
EOG09260FTO	Transmembrane:Helical
EOG09260FUZ	Similarity:Belongs to the carnitine/choline acetyltransferase family.
EOG09260FWA	SNF2-related, N-terminal domain
EOG09260FX0	Nrap protein
EOG09260FY6	FAD-binding, type 1
EOG09260FZZ	Zinc finger, RING/FYVE/PHD-type
EOG09260G1R	Ribonucleotide reductase large subunit, N-terminal
EOG09260G3O	hypothetical protein
EOG09260G6U	AMP deaminase
EOG09260GB1	Ankyrin repeat
EOG09260GEB	Similarity:Contains 1 RGS domain.
EOG09260GF5	Ras GTPase-activating protein
EOG09260GFL	Catalytic Activity:ATP + H(2)O = ADP + phosphate.
EOG09260GI7	RNA recognition motif domain
EOG09260GIX	Phosphoinositide phospholipase C
EOG09260GKG	Coatomer beta subunit, C-terminal
EOG09260GOF	Similarity:Contains 1 F-box domain.
EOG09260GQI	Transmembrane:Helical
EOG09260GR8	Armadillo-type fold
EOG09260GSV	GIT, Spa2 homology (SHD) domain
EOG09260GXQ	Protein kinase domain
EOG09260H3G	Armadillo-like helical
EOG09260H68	Protein kinase domain
EOG09260H6E	Similarity:Contains MYND-type zinc finger.
EOG09260H81	Timeless protein
EOG09260H8F	Protein kinase domain
EOG09260HB3	SIT4 phosphatase-associated protein family
EOG09260HCY	SLC26A/SulP transporter
EOG09260HIO	SAPK-interacting protein 1, Pleckstrin-homology domain
EOG09260HMA	Armadillo-like helical
EOG09260HS3	Pep3/Vps18/deep orange
EOG09260HSB	Eisosome protein 1
EOG09260HSP	Helicase, C-terminal
EOG09260HU0	T-complex protein 1 subunit gamma
EOG09260HU5	DNA mismatch repair protein MutS, N-terminal
EOG09260HXE	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260HY2	Mediator complex, subunit Med5, fungi
EOG09260I06	Transmembrane:Helical
EOG09260I3R	Transmembrane:Helical
EOG09260I62	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260I7A	Transmembrane:Helical
EOG09260I7M	Armadillo-like helical
EOG09260IAH	Similarity:Contains JmjC domain.
EOG09260IBT	Glycoside hydrolase, family 5
EOG09260IIM	P-type ATPase
EOG09260INU	Transmembrane:Helical
EOG09260IOI	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260ITZ	DDT domain
EOG09260IU8	Armadillo-type fold
EOG09260IUC	Zinc finger, NHR/GATA-type
EOG09260J4V	Histone deacetylation protein Rxt3
EOG09260J53	Transmembrane:Helical
EOG09260J8F	Transmembrane:Helical
EOG09260J97	Tetratricopeptide repeat
EOG09260JAI	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260JBL	Similarity:Belongs to the ClpA/ClpB family.
EOG09260JDM	Mitochondrial protein Pet127
EOG09260JED	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit
EOG09260JG2	Armadillo-like helical
EOG09260JHM	Nucleoporin interacting component Nup93/Nic96
EOG09260JJ2	Protein-tyrosine-phosphatase
EOG09260JJW	Similarity:Belongs to the peptidase M3 family.
EOG09260JK3	Transmembrane:Helical
EOG09260JKR	DIS3-like exonuclease 2
EOG09260JNY	Nucleic acid-binding, OB-fold
EOG09260JO5	IKI3
EOG09260JPV	Heat shock protein 70 family
EOG09260JSF	Similarity:Contains PI3K/PI4K domain.
EOG09260JSG	Similarity:Contains 3 C2 domains.
EOG09260JT9	DNA helicase
EOG09260JTZ	Coatomer gamma subunit
EOG09260JVN	Protein kinase domain
EOG09260K0L	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260K1D	Glycoside hydrolase family 63
EOG09260K24	Eukaryotic translation initiation factor 3 subunit B
EOG09260K27	Forkhead-associated (FHA) domain
EOG09260K29	Transmembrane:Helical
EOG09260K4B	EF-hand domain
EOG09260K4V	Peptidase M24, structural domain
EOG09260K5F	Exocyst complex component Sec6
EOG09260K77	Transmembrane:Helical
EOG09260KCB	Conserved oligomeric Golgi complex subunit 6
EOG09260KCN	ATP-dependent 6-phosphofructokinase
EOG09260KCW	Similarity:Contains SPX domain.
EOG09260KDB	Transmembrane:Helical
EOG09260KE2	P-loop containing nucleoside triphosphate hydrolase
EOG09260KGN	Transmembrane:Helical
EOG09260KGS	Armadillo-type fold
EOG09260KIY	Similarity:Contains 1 F-box domain.
EOG09260KJ2	WD40 repeat
EOG09260KM4	Folylpolyglutamate synthetase
EOG09260KNI	Leucine-rich repeat domain, L domain-like
EOG09260KNR	Similarity:Contains helicase ATP-binding domain.
EOG09260KUC	Dynamin-type guanine nucleotide-binding (G) domain
EOG09260KWP	Transmembrane:Helical
EOG09260KZC	Rho GTPase activation protein
EOG09260L0P	Similarity:Contains SPX domain.
EOG09260L2B	Alpha,alpha-trehalose-phosphate synthase
EOG09260L2C	F-box domain
EOG09260LBU	Cobalamin-independent methionine synthase
EOG09260LDI	Peptidase S64, Ssy5
EOG09260LHD	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260LI6	DNA mismatch repair protein MutS, N-terminal
EOG09260LJ8	Dihydropteroate synthase
EOG09260LJK	Transmembrane:Helical
EOG09260LJU	Gamma-tubulin complex component protein
EOG09260LPK	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260LRX	Condensin complex subunit 3
EOG09260LS9	SAICAR synthetase/ADE2, N-terminal
EOG09260LVD	Transmembrane:Helical
EOG09260LXN	NUDIX hydrolase domain
EOG09260LZ7	Kinesin-like protein
EOG09260LZB	WD40/YVTN repeat-like-containing domain
EOG09260M0I	Transmembrane:Helical
EOG09260M44	DNA polymerase V
EOG09260M6J	Ribonucleotide reductase, transcriptional regulator Crt10
EOG09260M87	Vacuole morphology and inheritance protein 14
EOG09260MBW	Metallo-beta-lactamase
EOG09260MCJ	Transmembrane:Helical
EOG09260MFC	Similarity:Contains 1 F-box domain.
EOG09260MG4	Similarity:Contains LisH domain.
EOG09260ML1	P-type ATPase
EOG09260MM0	Zinc finger, C2H2
EOG09260MNB	WD40 repeat
EOG09260MNR	Glycosyl hydrolase family 63, N-terminal
EOG09260MRB	Zinc finger, RING/FYVE/PHD-type
EOG09260MRU	DNA topoisomerase I
EOG09260MYT	Transmembrane:Helical
EOG09260N08	Creatinase, N-terminal
EOG09260N2T	AAA+ ATPase domain
EOG09260N53	Rab-GTPase-TBC domain
EOG09260N99	Transcription factor CRF1/IFH1
EOG09260N9I	Transmembrane:Helical
EOG09260N9Y	Transmembrane:Helical
EOG09260NAN	Mediator complex, subunit Med14
EOG09260NC6	ATPase, AAA-type, core
EOG09260NCC	Bck2p
EOG09260NE0	Zinc finger, PHD-type
EOG09260NHB	TRAPP II complex, TRAPPC10
EOG09260NHN	Protein kinase domain
EOG09260NJW	Armadillo-type fold
EOG09260NKE	Arrestin C-terminal-like domain
EOG09260NL7	Domain of unknown function DUF814
EOG09260NNR	Zinc finger, RING-type
EOG09260NQE	Zinc finger, FYVE/PHD-type
EOG09260NWN	Ubiquitin conjugation factor E4, core
EOG09260NXC	Transcription elongation factor Spt5
EOG09260NXJ	Similarity:Contains 1 F-box domain.
EOG09260NY2	Exocyst complex subunit Sec15-like
EOG09260NZ8	Transmembrane:Helical
EOG09260O42	Armadillo-type fold
EOG09260O4E	Pyoverdine biosynthesis
EOG09260O6A	Protein kinase domain
EOG09260O6H	SNF2-related, N-terminal domain
EOG09260O7R	SNF1 protein kinase subunit beta-1
EOG09260OCI	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
EOG09260OE9	Zinc finger, RING-type
EOG09260OEV	UvrD-like Helicase, ATP-binding domain
EOG09260OFV	RNA polymerase I-specific transcription initiation factor Rrn6
EOG09260OGE	Glutamyl/glutaminyl-tRNA synthetase
EOG09260OHH	Similarity:Contains 2 ANK repeats.
EOG09260OJY	Transmembrane:Helical
EOG09260OLB	Actin patch protein 1
EOG09260OM6	Similarity:Belongs to the ABC transporter superfamily.
EOG09260OM8	Transmembrane:Helical
EOG09260OQ8	CAS/CSE, C-terminal
EOG09260OWN	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260OZU	Armadillo-type fold
EOG09260P2K	Protein kinase domain
EOG09260P3Q	Protein Fyv8
EOG09260P5R	Similarity:Contains RING-type zinc finger.
EOG09260P6C	Tetratricopeptide-like helical domain
EOG09260PA2	Spermidine/spermine synthases
EOG09260PES	AMP-dependent synthetase/ligase
EOG09260PFR	Protein kinase domain
EOG09260PFV	Transmembrane:Helical
EOG09260PI1	MIF4G-like, type 1
EOG09260PIJ	Rad4 beta-hairpin domain 2
EOG09260PJ9	Inositol polyphosphate kinase
EOG09260PN4	T-complex 11
EOG09260POU	THO complex, subunit THOC1
EOG09260PSW	Similarity:Belongs to the DEAD box helicase family.
EOG09260PT9	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260PU3	Dynamin, GTPase domain
EOG09260PZQ	Telomere-associated protein  Rif1
EOG09260PZS	WD40/YVTN repeat-like-containing domain
EOG09260Q00	S-adenosyl-L-methionine-dependent methyltransferase
EOG09260Q1F	Ankyrin repeat
EOG09260Q1J	Active Site:Nucleophile
EOG09260Q3L	LDB19, N-terminal
EOG09260Q5O	Protein kinase domain
EOG09260Q6K	Transmembrane:Helical
EOG09260Q7B	Mediator complex, subunit Med15, fungi
EOG09260QAD	Protein kinase-like domain
EOG09260QBL	Eisosome protein 1
EOG09260QH9	ATPase, AAA-type, core
EOG09260QIZ	Transmembrane:Helical
EOG09260QJF	hypothetical protein
EOG09260QK3	DDHD domain
EOG09260QKJ	Transmembrane:Helical
EOG09260QM3	P-loop containing nucleoside triphosphate hydrolase
EOG09260QNB	Similarity:Belongs to the actin family.
EOG09260QPO	Ubiquitin-like modifier-activating enzyme Atg7
EOG09260QRV	SNF2-related, N-terminal domain
EOG09260QVP	Transmembrane:Helical
EOG09260QVQ	SNF2-related, N-terminal domain
EOG09260QXH	SANT/Myb domain
EOG09260QXR	Transmembrane:Helical
EOG09260QY7	Glutamine amidotransferase
EOG09260QYC	RNA recognition motif domain
EOG09260R1U	Transmembrane:Helical
EOG09260R79	Kelch-type beta propeller
EOG09260R84	Stromalin conservative domain
EOG09260R8X	Transmembrane:Helical
EOG09260R9L	Similarity:Contains 1 KH domain.
EOG09260RA8	DNA helicase
EOG09260RBE	Similarity:Belongs to the carnitine/choline acetyltransferase family.
EOG09260RDB	Similarity:Contains helicase ATP-binding domain.
EOG09260RER	Cullin repeat-like-containing domain
EOG09260REY	Protein kinase domain
EOG09260RF0	Transketolase, N-terminal
EOG09260RGH	Similarity:Contains dynamin-type G (guanine nucleotide-binding) domain.
EOG09260RNZ	RNA polymerase II assembly factor Rtp1, C-terminal
EOG09260ROS	Kelch-type beta propeller
EOG09260RQE	Structure-specific endonuclease subunit Slx4
EOG09260RRC	Metallo-beta-lactamase
EOG09260RRN	Lon protease
EOG09260RS7	MIF4G-like domain
EOG09260RU6	SLC26A/SulP transporter
EOG09260RVQ	N1221-like
EOG09260RWO	Protein kinase domain
EOG09260RYV	Similarity:Contains DH (DBL-homology) domain.
EOG09260RZH	Transmembrane:Helical
EOG09260S2Z	WD40 repeat
EOG09260S3B	hypothetical protein
EOG09260S3L	Topoisomerase II-associated protein PAT1
EOG09260S5R	Tetratricopeptide repeat
EOG09260S84	Phospholipase D family
EOG09260SAH	Protein arginine N-methyltransferase
EOG09260SCK	Stress response protein NST1
EOG09260SFI	Bromodomain
EOG09260SI7	Pre-rRNA-processing protein RIX1, N-terminal
EOG09260SIZ	Terpene cyclase/mutase family member
EOG09260SJ7	DNA damage checkpoint protein, Lcd1
EOG09260SJV	WD40 repeat
EOG09260SK3	Similarity:Contains MYND-type zinc finger.
EOG09260SL3	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3
EOG09260SR2	Armadillo-type fold
EOG09260SRF	Glucosamine-fructose-6-phosphate aminotransferase, isomerising
EOG09260SRV	RINT-1/TIP-20
EOG09260STT	Potassium channel domain
EOG09260SVP	Zinc finger, C2H2
EOG09260SWD	hypothetical protein
EOG09260SXQ	Transmembrane:Helical
EOG09260SYM	Zinc finger, C2H2
EOG09260SZX	SNF2-related, N-terminal domain
EOG09260T0F	Retrograde transport protein Dsl1 N-terminal domain
EOG09260T0H	Transmembrane:Helical
EOG09260T23	Regulatory subunit Dfp1/Him1, central region
EOG09260T28	Vacuolar protein sorting-associated protein 35
EOG09260T4S	Armadillo-like helical
EOG09260T9E	Dipeptidyl-peptidase 3
EOG09260TAG	DNA helicase
EOG09260TBV	Transmembrane:Helical
EOG09260TDF	Homeobox domain
EOG09260TDY	Transcription factor 25
EOG09260TFD	Transmembrane:Helical
EOG09260THV	Histone-fold
EOG09260TLW	Sda1
EOG09260TPA	Mitochondrial translation factor Atp22
EOG09260TPT	Ribonuclease P/MRP, subunit POP1
EOG09260TTE	Similarity:Contains USP domain.
EOG09260TUR	Tetratricopeptide repeat-containing domain
EOG09260TUT	Methionyl-tRNA synthetase
EOG09260TUZ	Sir1, ORC-binding domain
EOG09260TVA	Transmembrane:Helical
EOG09260TWS	Alpha-trehalose glucohydrolase
EOG09260TYF	Similarity:Contains SPX domain.
EOG09260U0I	Zn(2)-C6 fungal-type DNA-binding domain
EOG09260U30	Acyl-CoA oxidase
EOG09260U4I	Zinc finger, RING-type
EOG09260U6R	WD40 repeat
EOG09260U6U	Pam1p
EOG09260U8J	Armadillo-like helical
EOG09260UA2	Nuclear protein localization protein 4
EOG09260UDM	Rad4 beta-hairpin domain 2
EOG09260UFU	Nucleic acid-binding, OB-fold
EOG09260UIJ	Transmembrane:Helical
EOG09260UJK	Transmembrane:Helical
EOG09260ULY	Bul1, C-terminal
EOG09260UM2	Cytochrome B pre-mRNA-processing protein 1
EOG09260UVS	DNA helicase Ino80
