ortho_cluster;name_cluster
EOG092605QM;Dopey, N-terminal
EOG092605R1;SNF2-related, N-terminal domain
EOG092605T6;Similarity:Contains FATC domain.
EOG092605VD;Pleckstrin homology domain, Mcp5-type
EOG092605VL;THO complex, subunitTHOC2, N-terminal
EOG092605VU;Transmembrane:Helical
EOG092605Y8;Similarity:Contains JmjC domain.
EOG092605YP;ATP-dependent RNA helicase Ski2
EOG092605ZA;Mediator complex, subunit Med12
EOG0926064C;WD40 repeat
EOG0926064W;Similarity:Contains SEC7 domain.
EOG0926065U;Hydantoinase B/oxoprolinase
EOG0926066J;5'-3' exoribonuclease
EOG092606AD;RNA polymerase II-associated protein 1, N-terminal
EOG092606AJ;Ubiquitin carboxyl-terminal hydrolase
EOG092606BL;Similarity:Belongs to the ABC transporter superfamily.
EOG092606CY;Structural maintenance of chromosomes protein
EOG092606JF;PAN2 domain
EOG092606K6;Peptidase S8, subtilisin, Ser-active site
EOG092606N3;Similarity:Contains helicase ATP-binding domain.
EOG092606O3;ATPase, AAA-type, core
EOG092606QR;WD40 repeat
EOG092606SI;Transmembrane:Helical
EOG092606SY;Rap GTPase activating protein domain
EOG092606TN;Similarity:Contains 3 C2 domains.
EOG092606UH;P-type ATPase
EOG092606UX;Nucleoporin, Nup133/Nup155-like, N-terminal
EOG092606W6;B-block binding subunit of TFIIIC
EOG092606WZ;P-loop containing nucleoside triphosphate hydrolase
EOG092606YE;Similarity:Contains 8 KH domains.
EOG092606ZM;Dynein heavy chain
EOG0926071Q;P-loop containing nucleoside triphosphate hydrolase
EOG0926071R;Sec8 exocyst complex component specific domain
EOG0926073O;DNA topoisomerase, type IIA
EOG0926074Y;Coatomer alpha subunit
EOG09260779;Tetratricopeptide repeat
EOG0926077L;TRAPP II complex, Trs120
EOG09260787;P-loop containing nucleoside triphosphate hydrolase
EOG0926079Q;Condensin subunit 1
EOG092607AG;Similarity:Contains ARID domain.
EOG092607C9;Similarity:Contains 6 ANK repeats.
EOG092607CA;DNA-directed RNA polymerase
EOG092607D5;WD40/YVTN repeat-like-containing domain
EOG092607O8;Sec7 domain
EOG092607OQ;WD40-repeat-containing domain
EOG092607QZ;Alpha-mannosidase
EOG092607ZS;Chromo domain
EOG0926084M;Transmembrane:Helical
EOG0926084Q;SNF2-related, N-terminal domain
EOG092608AE;P-loop containing nucleoside triphosphate hydrolase
EOG092608AV;Armadillo-type fold
EOG092608C4;Phosphoribosylformylglycinamidine synthase
EOG092608FZ;DNA-directed RNA polymerase
EOG092608GK;Kelch-type beta propeller
EOG092608L0;Similarity:Contains 1 SH3 domain.
EOG092608LC;Tuberin, N-terminal
EOG092608NU;Armadillo-type fold
EOG092608RH;P-loop containing nucleoside triphosphate hydrolase
EOG092608SX;Similarity:Belongs to the GDA1/CD39 NTPase family.
EOG092608WI;DNA repair protein, Rev1
EOG092608WU;Similarity:Contains 1 C2 domain.
EOG092608ZS;Hydroxymethylglutaryl-CoA reductase, class I/II
EOG0926091P;ATP-grasp fold
EOG0926092K;Isoleucine-tRNA ligase
EOG09260931;WD40 repeat
EOG0926094P;Male sterility, NAD-binding
EOG0926095O;Armadillo-type fold
EOG0926097G;Similarity:Belongs to the ABC transporter superfamily.
EOG0926099C;Similarity:Contains USP domain.
EOG092609B2;Similarity:Contains 1 PH domain.
EOG092609EC;Similarity:Contains 2 C2 domains.
EOG092609G7;Transmembrane:Helical
EOG092609JB;Isoleucine-tRNA ligase
EOG092609LI;Structural maintenance of chromosomes protein
EOG092609O9;Similarity:Contains HECT (E6AP-type E3 ubiquitin-protein ligase) domain.
EOG092609P9;WD40 repeat
EOG092609RF;WD40 repeat
EOG092609T4;RNA-dependent RNA polymerase, eukaryotic-type
EOG092609TW;Pentatricopeptide repeat
EOG092609YT;P-type ATPase
EOG09260A1Y;DNA-directed RNA polymerase N-terminal domain
EOG09260A27;Transmembrane:Helical
EOG09260A2D;WD40 repeat
EOG09260A6Q;WD40-repeat-containing domain
EOG09260A98;WD40 repeat
EOG09260ABP;Nuclear pore protein 84/107
EOG09260ABY;CRM1 C-terminal domain
EOG09260AC3;Active Site:Proton acceptor
EOG09260AD4;Domain of unknown function DUF1708
EOG09260AEC;WD40 repeat
EOG09260AGG;P-loop containing nucleoside triphosphate hydrolase
EOG09260ANO;SAC domain
EOG09260AOA;Similarity:Contains 1 basic helix-loop-helix (bHLH) domain.
EOG09260AOD;Zinc finger, PHD-type
EOG09260APA;Armadillo-type fold
EOG09260APL;Similarity:Contains DH (DBL-homology) domain.
EOG09260AQB;Similarity:Belongs to the RNR ribonuclease family.
EOG09260ARE;Similarity:Belongs to the ABC transporter superfamily.
EOG09260AZA;2-oxoglutarate dehydrogenase E1 component
EOG09260AZK;DNA repair protein
EOG09260AZM;P-type ATPase
EOG09260B3H;XPG/Rad2 endonuclease
EOG09260B3X;Glycoside hydrolase family 31
EOG09260B5D;Similarity:Contains 1 PH domain.
EOG09260B65;Armadillo-type fold
EOG09260B6J;PDZ domain
EOG09260B71;Similarity:Contains 1 SH3 domain.
EOG09260BAQ;BRCT domain
EOG09260BBX;Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
EOG09260BDA;Peptidase S59, nucleoporin
EOG09260BFE;Temperature dependent protein affecting M2 dsRNA replication, N-terminal
EOG09260BGU;VRR-NUC domain
EOG09260BL6;Zinc finger, CCHC-type
EOG09260BM1;DNA-directed DNA polymerase, family B
EOG09260BRA;Kinesin-like protein
EOG09260BSW;Ribosomal protein S5 domain 2-type fold
EOG09260BUL;Structural maintenance of chromosomes protein
EOG09260BYL;AMP deaminase
EOG09260BZ0;MIF4G-like, type 3
EOG09260C2V;Symplekin/Pta1
EOG09260C3I;SAC domain
EOG09260C4H;Aminoacyl-tRNA synthetase, class Ia
EOG09260C5W;Armadillo-type fold
EOG09260CBD;Armadillo-type fold
EOG09260CKC;Similarity:Contains 3 LIM zinc-binding domains.
EOG09260CLO;Tetrahydrofolate dehydrogenase/cyclohydrolase
EOG09260CMZ;Tetratricopeptide repeat
EOG09260CUC;Transmembrane:Helical
EOG09260CVD;Intron-binding protein aquarius, N-terminal
EOG09260CWO;Protein kinase domain
EOG09260CY1;Similarity:Contains fork-head DNA-binding domain.
EOG09260D02;Transmembrane:Helical
EOG09260D0E;Protein kinase domain
EOG09260D0L;P-type ATPase
EOG09260D4L;Mad3/Bub1 homology region 1
EOG09260D7N;Transmembrane:Helical
EOG09260D8L;Similarity:Contains 1 C2 domain.
EOG09260DBG;Pyridoxal phosphate-dependent transferase
EOG09260DFH;Similarity:Belongs to the peptidase M16 family.
EOG09260DFJ;Transmembrane:Helical
EOG09260DFY;P-type ATPase
EOG09260DJL;Nucleic acid-binding, OB-fold
EOG09260DKC;Aconitate hydratase, mitochondrial
EOG09260DP1;DNA mismatch repair protein MutS, N-terminal
EOG09260DQY;Transmembrane:Helical
EOG09260DUR;PX-associated domain
EOG09260DUW;Armadillo-type fold
EOG09260DXP;DEAD/DEAH box helicase domain
EOG09260E03;Dynactin subunit 1
EOG09260E1R;Similarity:Contains DH (DBL-homology) domain.
EOG09260E2O;WD40 repeat
EOG09260E2Q;Transmembrane:Helical
EOG09260E46;Protein kinase domain
EOG09260E8K;NAD-glutamate dehydrogenase
EOG09260EAZ;Tetratricopeptide repeat
EOG09260EBB;Tetratricopeptide repeat
EOG09260EE7;WD40 repeat
EOG09260EOI;WD40-repeat-containing domain
EOG09260EPQ;DNA mismatch repair MutS
EOG09260EPS;Nucleoporin, Nup133/Nup155-like, N-terminal
EOG09260EQD;WD40-repeat-containing domain
EOG09260ERO;Ubiquitin-activating enzyme E1
EOG09260ETR;GNAT domain
EOG09260EU1;Zinc finger, PHD-type
EOG09260EUX;Glycoside hydrolase family 31
EOG09260EZT;Phospholipid methyltransferase
EOG09260F1L;Zinc finger, RING-type
EOG09260F3E;WD40 repeat
EOG09260F86;ATP-dependent RNA helicase Ski2
EOG09260FA7;DNA ligase, ATP-dependent
EOG09260FAO;Inner centromere protein, ARK-binding domain
EOG09260FFP;CheY-like superfamily
EOG09260FKU;Similarity:Belongs to the cullin family.
EOG09260FKX;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260FL2;Vps16, C-terminal
EOG09260FMW;Histidine phosphatase superfamily
EOG09260FPA;Rapamycin-insensitive companion of mTOR, domain 4
EOG09260FSM;Putative zinc-finger domain
EOG09260FTO;Transmembrane:Helical
EOG09260FWA;SNF2-related, N-terminal domain
EOG09260FX0;Nrap protein
EOG09260FY6;FAD-binding, type 1
EOG09260FZZ;Zinc finger, RING/FYVE/PHD-type
EOG09260G1R;Ribonucleotide reductase large subunit, N-terminal
EOG09260G5Z;Similarity:Contains PAZ domain.
EOG09260G6C;Zinc finger, GATA-type
EOG09260GB1;Ankyrin repeat
EOG09260GEB;Similarity:Contains 1 RGS domain.
EOG09260GF5;Ras GTPase-activating protein
EOG09260GFL;Catalytic Activity:ATP + H(2)O = ADP + phosphate.
EOG09260GHR;Kelch-type beta propeller
EOG09260GI7;RNA recognition motif domain
EOG09260GIX;Phosphoinositide phospholipase C
EOG09260GKG;Coatomer beta subunit, C-terminal
EOG09260GND;Dbl homology (DH) domain
EOG09260GOF;Similarity:Contains 1 F-box domain.
EOG09260GR8;Armadillo-type fold
EOG09260GSV;GIT, Spa2 homology (SHD) domain
EOG09260GWZ;PDZ domain
EOG09260H3G;Armadillo-like helical
EOG09260H68;Protein kinase domain
EOG09260H6E;Similarity:Contains MYND-type zinc finger.
EOG09260H81;Timeless protein
EOG09260H8F;Protein kinase domain
EOG09260HB3;SIT4 phosphatase-associated protein family
EOG09260HCY;SLC26A/SulP transporter
EOG09260HIO;SAPK-interacting protein 1, Pleckstrin-homology domain
EOG09260HJV;Munc13 homology 1
EOG09260HMA;Armadillo-like helical
EOG09260HPO;Alanine-tRNA ligase, class IIc
EOG09260HS3;Pep3/Vps18/deep orange
EOG09260HSP;Helicase, C-terminal
EOG09260HU0;T-complex protein 1 subunit gamma
EOG09260HU5;DNA mismatch repair protein MutS, N-terminal
EOG09260I06;Transmembrane:Helical
EOG09260I3R;Transmembrane:Helical
EOG09260I46;Zinc finger, NHR/GATA-type
EOG09260I6V;Transmembrane:Helical
EOG09260I7M;Armadillo-like helical
EOG09260I9Q;Translin
EOG09260I9Y;P-loop containing nucleoside triphosphate hydrolase
EOG09260IAH;Similarity:Contains JmjC domain.
EOG09260IET;Similarity:Contains SEC7 domain.
EOG09260IIM;P-type ATPase
EOG09260ISY;Transmembrane:Helical
EOG09260IT6;Peptide hydrolase
EOG09260IU8;Armadillo-type fold
EOG09260J4V;Histone deacetylation protein Rxt3
EOG09260J53;Transmembrane:Helical
EOG09260J8D;Armadillo-type fold
EOG09260J8F;Transmembrane:Helical
EOG09260J97;Tetratricopeptide repeat
EOG09260JBL;Similarity:Belongs to the ClpA/ClpB family.
EOG09260JCB;Centrosomin, N-terminal motif 1
EOG09260JDM;Mitochondrial protein Pet127
EOG09260JED;26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit
EOG09260JHM;Nucleoporin interacting component Nup93/Nic96
EOG09260JI1;Transmembrane:Helical
EOG09260JJW;Similarity:Belongs to the peptidase M3 family.
EOG09260JKR;DIS3-like exonuclease 2
EOG09260JLU;Transmembrane:Helical
EOG09260JNY;Nucleic acid-binding, OB-fold
EOG09260JO5;IKI3
EOG09260JPV;Heat shock protein 70 family
EOG09260JSF;Similarity:Contains PI3K/PI4K domain.
EOG09260JT9;DNA helicase
EOG09260JTZ;Coatomer gamma subunit
EOG09260JU8;Hamartin
EOG09260JVN;Protein kinase domain
EOG09260JY5;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260K24;Eukaryotic translation initiation factor 3 subunit B
EOG09260K27;Forkhead-associated (FHA) domain
EOG09260K29;Transmembrane:Helical
EOG09260K4B;EF-hand domain
EOG09260K4V;Peptidase M24, structural domain
EOG09260K4Y;Armadillo-like helical
EOG09260K5F;Exocyst complex component Sec6
EOG09260K60;Kelch-type beta propeller
EOG09260K77;Transmembrane:Helical
EOG09260KCB;Conserved oligomeric Golgi complex subunit 6
EOG09260KCN;ATP-dependent 6-phosphofructokinase
EOG09260KCW;Similarity:Contains SPX domain.
EOG09260KDB;Transmembrane:Helical
EOG09260KF0;P-loop containing nucleoside triphosphate hydrolase
EOG09260KGN;Transmembrane:Helical
EOG09260KGS;Armadillo-type fold
EOG09260KIY;Similarity:Contains 1 F-box domain.
EOG09260KJ2;WD40 repeat
EOG09260KM4;Folylpolyglutamate synthetase
EOG09260KML;siRNA-mediated silencing protein NRDE-2
EOG09260KNI;Leucine-rich repeat domain, L domain-like
EOG09260KNR;Similarity:Contains helicase ATP-binding domain.
EOG09260KUC;Dynamin-type guanine nucleotide-binding (G) domain
EOG09260KWP;Transmembrane:Helical
EOG09260L0P;Similarity:Contains SPX domain.
EOG09260L2B;Alpha,alpha-trehalose-phosphate synthase
EOG09260L6J;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260LAW;Transmembrane:Helical
EOG09260LBK;WD40-repeat-containing domain
EOG09260LBU;Cobalamin-independent methionine synthase
EOG09260LJ8;Dihydropteroate synthase
EOG09260LJU;Gamma-tubulin complex component protein
EOG09260LRX;Condensin complex subunit 3
EOG09260LS9;SAICAR synthetase/ADE2, N-terminal
EOG09260LUZ;cell surface glycoprotein (predicted), DIPSY family
EOG09260LVD;Transmembrane:Helical
EOG09260LVK;WD40/YVTN repeat-like-containing domain
EOG09260LXN;NUDIX hydrolase domain
EOG09260LZ7;Kinesin-like protein
EOG09260M0I;Transmembrane:Helical
EOG09260M44;DNA polymerase V
EOG09260M87;Vacuole morphology and inheritance protein 14
EOG09260M9X;Transmembrane:Helical
EOG09260MBW;Metallo-beta-lactamase
EOG09260MG4;Similarity:Contains LisH domain.
EOG09260MKC;DENN domain
EOG09260ML1;P-type ATPase
EOG09260MM0;Zinc finger, C2H2
EOG09260MNR;Glycosyl hydrolase family 63, N-terminal
EOG09260MPO;Transmembrane:Helical
EOG09260MRU;DNA topoisomerase I
EOG09260MT9;WD repeat-containing protein
EOG09260MZU;Cleavage/polyadenylation specificity factor, A subunit, C-terminal
EOG09260N08;Creatinase, N-terminal
EOG09260N2T;AAA+ ATPase domain
EOG09260N53;Rab-GTPase-TBC domain
EOG09260NAN;Mediator complex, subunit Med14
EOG09260NC6;ATPase, AAA-type, core
EOG09260NE0;Zinc finger, PHD-type
EOG09260NHB;TRAPP II complex, TRAPPC10
EOG09260NHN;Protein kinase domain
EOG09260NJW;Armadillo-type fold
EOG09260NKE;Arrestin C-terminal-like domain
EOG09260NKP;Centrosomin, N-terminal motif 1
EOG09260NL7;Domain of unknown function DUF814
EOG09260NRV;Uncharacterised protein family UPF0592
EOG09260NWN;Ubiquitin conjugation factor E4, core
EOG09260NXC;Transcription elongation factor Spt5
EOG09260NXJ;Similarity:Contains 1 F-box domain.
EOG09260NY2;Exocyst complex subunit Sec15-like
EOG09260NZ5;Similarity:Contains SWIRM domain.
EOG09260NZ8;Transmembrane:Helical
EOG09260O42;Armadillo-type fold
EOG09260O6A;Protein kinase domain
EOG09260O7E;Sel1-like repeat
EOG09260OCI;Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
EOG09260OE9;Zinc finger, RING-type
EOG09260OEV;UvrD-like Helicase, ATP-binding domain
EOG09260OGE;Glutamyl/glutaminyl-tRNA synthetase
EOG09260OGP;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase
EOG09260OIG;Transmembrane:Helical
EOG09260OLB;Actin patch protein 1
EOG09260OLY;Male sterility, NAD-binding
EOG09260OM6;Similarity:Belongs to the ABC transporter superfamily.
EOG09260OP5;Peptidase S9, prolyl oligopeptidase, catalytic domain
EOG09260OPV;P-type ATPase
EOG09260OQ8;CAS/CSE, C-terminal
EOG09260OUZ;Autophagy-related protein 11
EOG09260OZU;Armadillo-type fold
EOG09260P2K;Protein kinase domain
EOG09260P5R;Similarity:Contains RING-type zinc finger.
EOG09260P94;Ras GTPase-activating protein
EOG09260PA2;Spermidine/spermine synthases
EOG09260PI1;MIF4G-like, type 1
EOG09260PIJ;Rad4 beta-hairpin domain 2
EOG09260PJ9;Inositol polyphosphate kinase
EOG09260PSW;Similarity:Belongs to the DEAD box helicase family.
EOG09260PU3;Dynamin, GTPase domain
EOG09260Q19;Armadillo
EOG09260Q1F;Ankyrin repeat
EOG09260Q3L;LDB19, N-terminal
EOG09260Q5O;Protein kinase domain
EOG09260Q7B;Mediator complex, subunit Med15, fungi
EOG09260QAD;Protein kinase-like domain
EOG09260QCR;Zinc finger, CHY-type
EOG09260QDJ;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260QH9;ATPase, AAA-type, core
EOG09260QJH;Armadillo-like helical
EOG09260QK3;DDHD domain
EOG09260QKJ;Transmembrane:Helical
EOG09260QNB;Similarity:Belongs to the actin family.
EOG09260QPJ;Uncharacterized protein mdb1
EOG09260QPO;Ubiquitin-like modifier-activating enzyme Atg7
EOG09260QVP;Transmembrane:Helical
EOG09260QVQ;SNF2-related, N-terminal domain
EOG09260QXH;SANT/Myb domain
EOG09260QY7;Glutamine amidotransferase
EOG09260R84;Stromalin conservative domain
EOG09260R8X;Transmembrane:Helical
EOG09260R9L;Similarity:Contains 1 KH domain.
EOG09260RA8;DNA helicase
EOG09260RDB;Similarity:Contains helicase ATP-binding domain.
EOG09260REO;Transmembrane:Helical
EOG09260RER;Cullin repeat-like-containing domain
EOG09260REY;Protein kinase domain
EOG09260RF0;Transketolase, N-terminal
EOG09260RGH;Similarity:Contains dynamin-type G (guanine nucleotide-binding) domain.
EOG09260RNZ;RNA polymerase II assembly factor Rtp1, C-terminal
EOG09260RQ2;p53-like transcription factor, DNA-binding
EOG09260RRC;Metallo-beta-lactamase
EOG09260RRN;Lon protease
EOG09260RS7;MIF4G-like domain
EOG09260RTC;Zinc finger, CTCHY-type
EOG09260RU6;SLC26A/SulP transporter
EOG09260RUM;Hid-1/Ecm30
EOG09260RV8;RNA recognition motif 2
EOG09260RVQ;N1221-like
EOG09260S2Z;WD40 repeat
EOG09260S3L;Topoisomerase II-associated protein PAT1
EOG09260S52;Glycoside hydrolase family 3
EOG09260S5R;Tetratricopeptide repeat
EOG09260S84;Phospholipase D family
EOG09260SAH;Protein arginine N-methyltransferase
EOG09260SCK;Stress response protein NST1
EOG09260SFI;Bromodomain
EOG09260SIZ;Terpene cyclase/mutase family member
EOG09260SJ7;DNA damage checkpoint protein, Lcd1
EOG09260SJV;WD40 repeat
EOG09260SL3;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3
EOG09260SL7;Similarity:Contains N-terminal Ras-GEF domain.
EOG09260SLX;Staphylococcal nuclease (SNase-like), OB-fold
EOG09260SOJ;Kelch-type beta propeller
EOG09260SPI;Transmembrane:Helical
EOG09260SR2;Armadillo-type fold
EOG09260SRF;Glucosamine-fructose-6-phosphate aminotransferase, isomerising
EOG09260SU2;Alpha/Beta hydrolase fold
EOG09260SV9;Cohesin loading factor
EOG09260SX1;sporulation protein Spo3
EOG09260SXQ;Transmembrane:Helical
EOG09260SZ3;Uncharacterized protein C17D1.07c
EOG09260SZX;SNF2-related, N-terminal domain
EOG09260T23;Regulatory subunit Dfp1/Him1, central region
EOG09260T28;Vacuolar protein sorting-associated protein 35
EOG09260T4S;Armadillo-like helical
EOG09260TAG;DNA helicase
EOG09260TDY;Transcription factor 25
EOG09260TFD;Transmembrane:Helical
EOG09260TG8;Transmembrane:Helical
EOG09260TG9;PX-associated domain
EOG09260THJ;sequence orphan
EOG09260THV;Histone-fold
EOG09260TLW;Sda1
EOG09260TPT;Ribonuclease P/MRP, subunit POP1
EOG09260TR4;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260TRP;DIS3-like exonuclease 2
EOG09260TTB;Transmembrane:Helical
EOG09260TTE;Similarity:Contains USP domain.
EOG09260TUR;Tetratricopeptide repeat-containing domain
EOG09260TUT;Methionyl-tRNA synthetase
EOG09260TVA;Transmembrane:Helical
EOG09260TWS;Alpha-trehalose glucohydrolase
EOG09260TYF;Similarity:Contains SPX domain.
EOG09260U2C;Sulfatase, N-terminal
EOG09260U6R;WD40 repeat
EOG09260U8J;Armadillo-like helical
EOG09260UA2;Nuclear protein localization protein 4
EOG09260UC1;WD40 repeat
EOG09260UJK;Transmembrane:Helical
EOG09260UVS;DNA helicase Ino80
EOG09260UXC;Tetratricopeptide repeat
EOG09260UXE;Similarity:Belongs to the ABC transporter superfamily.
EOG09260UY8;Sec23/Sec24 beta-sandwich
EOG09260V1B;Similarity:Contains USP domain.
EOG09260V5Q;S-adenosyl-L-methionine-dependent methyltransferase
EOG09260V8Q;Similarity:Contains USP domain.
EOG09260VCG;Transmembrane:Helical
EOG09260VDL;Transmembrane:Helical
EOG09260VEY;WD40 repeat
EOG09260VG9;Similarity:Contains 1 F-box domain.
EOG09260VGS;sequence orphan
EOG09260VHV;AP complex subunit beta
EOG09260VK5;ELYS-like domain
EOG09260VP6;Transmembrane:Helical
EOG09260VPU;Transglutaminase-like
EOG09260VSV;Similarity:Contains HECT (E6AP-type E3 ubiquitin-protein ligase) domain.
EOG09260VTA;B3/B4 tRNA-binding domain
EOG09260VTN;ATPase, AAA-type, core
EOG09260VV8;mitochondrial translation regulator Ppr4
EOG09260VYK;Poly(A) polymerase
EOG09260W1G;ATPase, AAA-type, core
EOG09260W4R;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260W52;Tetratricopeptide-like helical domain
EOG09260W6L;AAA+ ATPase domain
EOG09260W8D;TRAPP III complex, Trs85
EOG09260W9L;Protein kinase domain
EOG09260WA1;Gelsolin-like domain
EOG09260WCZ;Vps54-like
EOG09260WFF;Mediator complex, subunit Med13
EOG09260WG2;Vacuolar import/degradation, Vid27-related
EOG09260WGT;Leucine-rich repeat
EOG09260WJR;AMP-dependent synthetase/ligase
EOG09260WTW;Transmembrane:Helical
EOG09260WU6;Condensin complex subunit 2/barren
EOG09260WUA;Similarity:Contains ARID domain.
EOG09260WUS;Exocyst complex component Sec10-like
EOG09260WXN;Structural maintenance of chromosomes protein
EOG09260WYQ;Glutamyl/glutaminyl-tRNA synthetase
EOG09260X1G;PSP1, C-terminal
EOG09260X4C;MIF4G-like domain
EOG09260XBB;Protein kinase domain
EOG09260XDK;Transmembrane:Helical
EOG09260XGF;RINT-1/TIP-20
EOG09260XH5;Glutamyl/glutaminyl-tRNA synthetase
EOG09260XKX;Similarity:Contains G-patch domain.
EOG09260XL0;DNA topoisomerase, type IA
EOG09260XMI;Similarity:Contains 2 SH3 domains.
EOG09260XOG;Tryptophan synthase, beta chain
EOG09260XQ9;U3 small nucleolar RNA-associated protein 6
EOG09260XQV;RNA recognition motif domain
EOG09260XRX;Sfi1 spindle body
EOG09260XSR;CLASP N-terminal domain
EOG09260XYO;Protein kinase domain
EOG09260Y1S;Transmembrane:Helical
EOG09260Y2Q;Similarity:Contains PCI domain.
EOG09260Y84;EF-hand domain
EOG09260YC9;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG09260YHU;Acetyl-coenzyme A synthetase
EOG09260YJQ;Arginine-tRNA ligase
EOG09260YKC;Urease
EOG09260YKD;RNA recognition motif domain
