id_Uniprot;id_NCBI;protein_recommended_name;id_pfam
1A03_HUMAN;3105;HLA class I histocompatibility antigen, A-3 alpha chain;PF07654|PF00129|PF06623
1A1C_TOBAC;107831434;1-aminocyclopropane-1-carboxylate synthase;PF00155
1A1D_SCHPO;2543564;Probable 1-aminocyclopropane-1-carboxylate deaminase;PF00291
1A1L1_HUMAN;84680;1-aminocyclopropane-1-carboxylate synthase-like protein 1;PF00155
1A1L1_MOUSE;329470;1-aminocyclopropane-1-carboxylate synthase-like protein 1;PF00155
1A1L2_HUMAN;390110;Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2;PF00155
1A1L2_MOUSE;381411;Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2;PF00155
1B07_HUMAN;3106;HLA class I histocompatibility antigen, B-7 alpha chain;PF07654|PF00129|PF06623
1C07_HUMAN;3107;HLA class I histocompatibility antigen, Cw-7 alpha chain;PF07654|PF00129|PF06623
2A51_CAEEL;180100;Serine/threonine-protein phosphatase 2A regulatory subunit pptr-1;PF01603
2A5A_HUMAN;5525;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform;PF01603
2A5A_MOUSE;226849;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform;PF01603
2A5B_HUMAN;5526;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform;PF01603
2A5B_MOUSE;225849;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform;PF01603
2A5D_HUMAN;5528;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;PF01603
2A5E_HUMAN;5529;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform;PF01603
2A5E_MOUSE;26932;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform;PF01603
2A5G_HUMAN;5527;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PF01603
2A5G_MOUSE;26931;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PF01603
2AAA_CAEEL;175750;Probable serine/threonine-protein phosphatase PP2A regulatory subunit;PF02985
2AAA_HUMAN;5518;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;PF02985
2AAA_MOUSE;51792;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;PF02985
2AAA_SCHPO;2543042;Protein phosphatase PP2A regulatory subunit A;PF02985
2AAB_HUMAN;5519;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;PF02985
2AAB_MOUSE;73699;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;PF02985
2AB1_CAEEL;172826;Serine/threonine-protein phosphatase 2A regulatory subunit sur-6;PF00400
2AD1_SCHPO;2539379;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta 1 isoform;PF01603
2AD2_SCHPO;2542891;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta 2 isoform;PF01603
2B13_HUMAN;3123;HLA class II histocompatibility antigen, DRB1-3 chain;PF07654|PF00969
2B17_HUMAN;3123;HLA class II histocompatibility antigen, DRB1-7 beta chain;PF07654|PF00969
2B1F_HUMAN;3123;HLA class II histocompatibility antigen, DRB1-15 beta chain;PF07654|PF00969
2B1G_HUMAN;3123;HLA class II histocompatibility antigen, DRB1-16 beta chain;PF07654|PF00969
3BHS1_HUMAN;3283;Steroid Delta-isomerase;PF01073
3BHS1_MOUSE;15492;Steroid Delta-isomerase;PF01073
3BHS2_HUMAN;3284;Steroid Delta-isomerase;PF01073
3BHS2_MOUSE;15493;Steroid Delta-isomerase;PF01073
3BHS3_MOUSE;15494;Steroid Delta-isomerase;PF01073
3BHS4_MOUSE;100043456;3 beta-hydroxysteroid dehydrogenase type 4;PF01073
3BHS5_MOUSE;15496;3 beta-hydroxysteroid dehydrogenase type 5;PF01073
3BHS6_MOUSE;15497;Steroid Delta-isomerase;PF01073
3BHS7_HUMAN;80270;3 beta-hydroxysteroid dehydrogenase type 7;PF01073
3BHS7_MOUSE;101502;3 beta-hydroxysteroid dehydrogenase type 7;PF01073
3BP1_HUMAN;23616;SH3 domain-binding protein 1;PF03114|PF00620
3BP1_MOUSE;20401;SH3 domain-binding protein 1;PF03114|PF00620
3BP2_HUMAN;6452;SH3 domain-binding protein 2;PF00169|PF00017
3BP5H_DROME;36674;SH3 domain-binding protein 5 homolog;PF05276
3BP5L_HUMAN;80851;SH3 domain-binding protein 5-like;PF05276
3BP5L_MOUSE;79566;SH3 domain-binding protein 5-like;PF05276
3BP5_HUMAN;9467;SH3 domain-binding protein 5;PF05276
3BP5_MOUSE;24056;SH3 domain-binding protein 5;PF05276
3HAO_CAEEL;179329;3-hydroxyanthranilate 3,4-dioxygenase;PF06052
3HAO_DANRE;492518;3-hydroxyanthranilate 3,4-dioxygenase;PF06052
3HAO_HUMAN;23498;3-hydroxyanthranilate 3,4-dioxygenase;PF06052
3HAO_MOUSE;107766;3-hydroxyanthranilate 3,4-dioxygenase;PF06052
3HIDH_CAEEL;180344;Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial;PF14833|PF03446
3HIDH_DROME;37166;Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial;PF14833|PF03446
3HIDH_HUMAN;11112;3-hydroxyisobutyrate dehydrogenase, mitochondrial;PF14833|PF03446
3HIDH_MOUSE;58875;3-hydroxyisobutyrate dehydrogenase, mitochondrial;PF14833|PF03446
3MG_HUMAN;4350;DNA-3-methyladenine glycosylase;PF02245
3MG_MOUSE;268395;DNA-3-methyladenine glycosylase;PF02245
41_DROME;37205;Protein 4.1 homolog;PF05902|PF09380|PF00373|PF09379
41_HUMAN;2035;Protein 4.1;PF05902|PF08736|PF09380|PF00373|PF09379|PF04382
41_MOUSE;269587;Protein 4.1;PF05902|PF08736|PF09380|PF00373|PF09379|PF04382
4CL1_TOBAC;107803673;4-coumarate--CoA ligase 1;PF00501|PF13193
4CL2_TOBAC;107797004;4-coumarate--CoA ligase 2;PF00501|PF13193
4EB3L_DANRE;324490;Eukaryotic translation initiation factor 4E-binding protein 3-like;PF05456
4EBP1_HUMAN;1978;Eukaryotic translation initiation factor 4E-binding protein 1;PF05456
4EBP1_MOUSE;13685;Eukaryotic translation initiation factor 4E-binding protein 1;PF05456
4EBP2_HUMAN;1979;Eukaryotic translation initiation factor 4E-binding protein 2;PF05456
4EBP2_MOUSE;13688;Eukaryotic translation initiation factor 4E-binding protein 2;PF05456
4EBP3_HUMAN;8637;Eukaryotic translation initiation factor 4E-binding protein 3;PF05456
4EBP3_MOUSE;108112;Eukaryotic translation initiation factor 4E-binding protein 3;PF05456
4ET_HUMAN;56478;Eukaryotic translation initiation factor 4E transporter;PF10477
4ET_MOUSE;74203;Eukaryotic translation initiation factor 4E transporter;PF10477
4F2_HUMAN;6520;4F2 cell-surface antigen heavy chain;PF00128|PF16028
4F2_MOUSE;17254;4F2 cell-surface antigen heavy chain;PF00128|PF16028
5HT1A_HUMAN;3350;5-hydroxytryptamine receptor 1A;PF00001
5HT1A_MOUSE;15550;5-hydroxytryptamine receptor 1A;PF00001
5HT1B_HUMAN;3351;5-hydroxytryptamine receptor 1B;PF00001
5HT1B_MOUSE;15551;5-hydroxytryptamine receptor 1B;PF00001
5HT1D_HUMAN;3352;5-hydroxytryptamine receptor 1D;PF00001
5HT1D_MOUSE;15552;5-hydroxytryptamine receptor 1D;PF00001
5HT1E_HUMAN;3354;5-hydroxytryptamine receptor 1E;PF00001
5HT1F_HUMAN;3355;5-hydroxytryptamine receptor 1F;PF00001
5HT1F_MOUSE;15557;5-hydroxytryptamine receptor 1F;PF00001
5HT1R_DROME;43669;5-hydroxytryptamine receptor 1;PF00001
5HT2A_DROME;37196;5-hydroxytryptamine receptor 2A;PF00001
5HT2A_HUMAN;3356;5-hydroxytryptamine receptor 2A;PF00001
5HT2A_MOUSE;15558;5-hydroxytryptamine receptor 2A;PF00001
5HT2B_DROME;37191;5-hydroxytryptamine receptor 2B;PF00001
5HT2B_HUMAN;3357;5-hydroxytryptamine receptor 2B;PF00001
5HT2B_MOUSE;15559;5-hydroxytryptamine receptor 2B;PF00001
5HT2C_HUMAN;3358;5-hydroxytryptamine receptor 2C;PF00001
5HT2C_MOUSE;15560;5-hydroxytryptamine receptor 2C;PF00001
5HT3A_HUMAN;3359;5-hydroxytryptamine receptor 3A;PF02931|PF02932
5HT3A_MOUSE;15561;5-hydroxytryptamine receptor 3A;PF02931|PF02932
5HT3B_HUMAN;9177;5-hydroxytryptamine receptor 3B;PF02931|PF02932
5HT3B_MOUSE;57014;5-hydroxytryptamine receptor 3B;PF02931|PF02932
5HT3C_HUMAN;170572;5-hydroxytryptamine receptor 3C;PF02931|PF02932
5HT3D_HUMAN;200909;5-hydroxytryptamine receptor 3D;PF02931|PF02932
5HT3E_HUMAN;285242;5-hydroxytryptamine receptor 3E;PF02931|PF02932
5HT4R_HUMAN;3360;5-hydroxytryptamine receptor 4;PF00001
5HT4R_MOUSE;15562;5-hydroxytryptamine receptor 4;PF00001
5HT5A_HUMAN;3361;5-hydroxytryptamine receptor 5A;PF00001
5HT5A_MOUSE;15563;5-hydroxytryptamine receptor 5A;PF00001
5HT6R_HUMAN;3362;5-hydroxytryptamine receptor 6;PF00001
5HT6R_MOUSE;15565;5-hydroxytryptamine receptor 6;PF00001
5HT7R_HUMAN;3363;5-hydroxytryptamine receptor 7;PF00001
5HT7R_MOUSE;15566;5-hydroxytryptamine receptor 7;PF00001
5NT1A_HUMAN;84618;Cytosolic 5'-nucleotidase 1A;PF06189
5NT1A_MOUSE;230718;Cytosolic 5'-nucleotidase 1A;PF06189
5NT1B_HUMAN;100526794;Cytosolic 5'-nucleotidase 1B;PF06189
5NT1B_MOUSE;70881;Cytosolic 5'-nucleotidase 1B;PF06189
5NT3A_HUMAN;51251;Cytosolic 5'-nucleotidase 3A {ECO:0000305|PubMed:15968458, ECO:0000305|PubMed:24603684};PF05822
5NT3A_MOUSE;107569;Cytosolic 5'-nucleotidase 3A;PF05822
5NT3B_DROME;37875;7-methylguanosine phosphate-specific 5'-nucleotidase;PF05822
5NT3B_HUMAN;115024;7-methylguanosine phosphate-specific 5'-nucleotidase;PF05822
5NT3B_MOUSE;68106;7-methylguanosine phosphate-specific 5'-nucleotidase;PF05822
5NT3_CAEEL;175843;Putative cytosolic 5'-nucleotidase 3;PF05822
5NT3_DANRE;321720;Cytosolic 5'-nucleotidase 3;PF05822
5NTC_HUMAN;22978;Cytosolic purine 5'-nucleotidase;PF05761
5NTC_MOUSE;76952;Cytosolic purine 5'-nucleotidase;PF05761
5NTD_HUMAN;4907;5'-nucleotidase;PF02872|PF00149
5NTD_MOUSE;23959;5'-nucleotidase;PF02872|PF00149
60A_DROME;37778;Protein 60A;PF00019|PF00688
68MP_HUMAN;9556;6.8 kDa mitochondrial proteolipid;PF08039
68MP_MOUSE;70257;6.8 kDa mitochondrial proteolipid;PF08039
6PGD_CAEEL;177971;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGD_DROME;31185;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGD_HUMAN;5226;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGD_MOUSE;110208;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGD_SCHPO;2541146;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGL_CAEEL;178398;Putative 6-phosphogluconolactonase;PF01182
6PGL_DROME;32013;Probable 6-phosphogluconolactonase;PF01182
6PGL_HUMAN;25796;6-phosphogluconolactonase;PF01182
6PGL_MOUSE;66171;6-phosphogluconolactonase;PF01182
6PGL_SCHPO;2538922;Probable 6-phosphogluconolactonase;PF01182
7B2_HUMAN;6447;Neuroendocrine protein 7B2;PF05281
7B2_MOUSE;20394;Neuroendocrine protein 7B2;PF05281
7LESS_DROME;32039;Protein sevenless;PF00041|PF07714
7UP1_DROME;41491;Steroid receptor seven-up, isoforms B/C;PF00104|PF00105
7UP2_DROME;41491;Steroid receptor seven-up, isoform A;PF00104|PF00105
8ODP_HUMAN;4521;7,8-dihydro-8-oxoguanine triphosphatase;PF00293
8ODP_MOUSE;17766;7,8-dihydro-8-oxoguanine triphosphatase;PF00293
A14EL_HUMAN;644100;ARL14 effector protein-like;PF14949
A14EL_MOUSE;381142;ARL14 effector protein-like;PF14949
A16A1_HUMAN;126133;Aldehyde dehydrogenase family 16 member A1;PF00171
A16A1_MOUSE;69748;Aldehyde dehydrogenase family 16 member A1;PF00171
A16L1_CAEEL;180717;Autophagic-related protein 16.1;PF08614|PF00400
A16L1_HUMAN;55054;Autophagy-related protein 16-1;PF08614|PF00400
A16L1_MOUSE;77040;Autophagy-related protein 16-1;PF08614|PF00400
A16L2_CAEEL;174067;Autophagic-related protein 16.2;PF00400
A16L2_HUMAN;89849;Autophagy-related protein 16-2;PF08614|PF00400
A16L2_MOUSE;73683;Autophagy-related protein 16-2;PF08614|PF00400
A1A1A_DANRE;445326;Alcohol dehydrogenase [NADP(+)] A;PF00248
A1A1B_DANRE;799805;Alcohol dehydrogenase [NADP(+)] B;PF00248
A1AG1_HUMAN;5004;Alpha-1-acid glycoprotein 1;PF00061
A1AG1_MOUSE;18405;Alpha-1-acid glycoprotein 1;PF00061
A1AG2_HUMAN;5005;Alpha-1-acid glycoprotein 2;PF00061
A1AG2_MOUSE;18406;Alpha-1-acid glycoprotein 2;PF00061
A1AT1_MOUSE;20700;Alpha-1-antitrypsin 1-1;PF00079
A1AT2_MOUSE;20701;Alpha-1-antitrypsin 1-2;PF00079
A1AT3_MOUSE;20702;Alpha-1-antitrypsin 1-3;PF00079
A1AT4_MOUSE;20703;Alpha-1-antitrypsin 1-4;PF00079
A1AT5_MOUSE;20704;Alpha-1-antitrypsin 1-5;PF00079
A1AT6_MOUSE;68348;Alpha-1-antitrypsin 1-6;PF00079
A1AT_HUMAN;5265;Alpha-1-antitrypsin;PF00079
A1BG_MOUSE;117586;Alpha-1B-glycoprotein;PF13895
A1CF_HUMAN;29974;APOBEC1 complementation factor;PF00076
A1CF_MOUSE;69865;APOBEC1 complementation factor;PF00076
A20A1_HUMAN;84210;Ankyrin repeat domain-containing protein 20A1;PF12796
A20A2_HUMAN;441430;Ankyrin repeat domain-containing protein 20A2;PF12796
A20A3_HUMAN;441425;Ankyrin repeat domain-containing protein 20A3;PF12796
A20A4_HUMAN;728747;Ankyrin repeat domain-containing protein 20A4;PF12796
A29AB_DROME;34162;Accessory gland protein Acp29AB;PF00059
A2AP_HUMAN;5345;Alpha-2-antiplasmin;PF00079
A2AP_MOUSE;18816;Alpha-2-antiplasmin;PF00079
A2GL_HUMAN;116844;Leucine-rich alpha-2-glycoprotein;PF13855
A2MG_MOUSE;232345;Alpha-2-macroglobulin-P;PF00207|PF07678|PF01835|PF07703|PF07677|PF10569
A2ML1_HUMAN;144568;Alpha-2-macroglobulin-like protein 1;PF00207|PF07678|PF01835|PF07703|PF07677|PF10569
A37C_DROME;35189;Protein anon-37Cs;PF01593
A3LT2_HUMAN;127550;Alpha-1,3-galactosyltransferase 2;PF03414
A3LT2_MOUSE;215493;Alpha-1,3-galactosyltransferase 2;PF03414
A4GAT_HUMAN;53947;Lactosylceramide 4-alpha-galactosyltransferase;PF04572|PF04488
A4GAT_MOUSE;239559;Lactosylceramide 4-alpha-galactosyltransferase;PF04572|PF04488
A4GCT_HUMAN;51146;Alpha-1,4-N-acetylglucosaminyltransferase;PF04572|PF04488
A4GCT_MOUSE;333424;Alpha-1,4-N-acetylglucosaminyltransferase;PF04572|PF04488
A4_CAEEL;180783;Amyloid-beta-like protein;PF10515|PF12924|PF12925|PF02177
A4_DROME;31002;Amyloid-beta-like protein;PF10515|PF12924|PF12925|PF02177
A4_HUMAN;351;Amyloid-beta A4 protein;PF10515|PF12924|PF12925|PF02177|PF03494|PF00014
A4_MOUSE;11820;Amyloid-beta A4 protein;PF10515|PF12924|PF12925|PF02177|PF03494|PF00014
A53E_DROME;36874;Accessory gland protein Acp53Ea;PF06313
A622L_TOBAC;107807959;Isoflavone reductase homolog A622-like;PF05368
A62F_DROME;38340;Accessory gland protein Acp62F;PF01826
A70A_DROME;39494;Accessory gland-specific peptide 70A;PF08138
A76A_DROME;40078;Accessory gland protein Acp76A;PF00079
A9A1A_DANRE;100005587;Aldehyde dehydrogenase family 9 member A1-A;PF00171
A9A1B_DANRE;399481;Aldehyde dehydrogenase family 9 member A1-B;PF00171
AA1R_HUMAN;134;Adenosine receptor A1;PF00001
AA1R_MOUSE;11539;Adenosine receptor A1;PF00001
AA2AR_HUMAN;135;Adenosine receptor A2a;PF00001
AA2AR_MOUSE;11540;Adenosine receptor A2a;PF00001
AA2BR_HUMAN;136;Adenosine receptor A2b;PF00001
AA2BR_MOUSE;11541;Adenosine receptor A2b;PF00001
AA2DB_DANRE;266755;Alpha-2Db adrenergic receptor;PF00001
AA3R_HUMAN;140;Adenosine receptor A3;PF00001
AAA1_HUMAN;56301;Asc-type amino acid transporter 1;PF13520
AAA1_MOUSE;53896;Asc-type amino acid transporter 1;PF13520
AAAD_HUMAN;13;Arylacetamide deacetylase;PF07859
AAAD_MOUSE;67758;Arylacetamide deacetylase;PF07859
AAAS_HUMAN;8086;Aladin;PF00400
AAAS_MOUSE;223921;Aladin;PF00400
AAAT_HUMAN;6510;Neutral amino acid transporter B(0);PF00375
AACS_DANRE;393984;Acetoacetyl-CoA synthetase;PF16177|PF00501
AACS_HUMAN;65985;Acetoacetyl-CoA synthetase;PF16177|PF00501
AACS_MOUSE;78894;Acetoacetyl-CoA synthetase;PF16177|PF00501
AACT_HUMAN;12;Alpha-1-antichymotrypsin;PF00079
AADAT_HUMAN;51166;Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial;PF00155
AADAT_MOUSE;23923;Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial;PF00155
AAED1_HUMAN;195827;Thioredoxin-like protein AAED1;PF13911
AAED1_MOUSE;66129;Thioredoxin-like protein AAED1;PF13911
AAK1_HUMAN;22848;AP2-associated protein kinase 1;PF00069
AAK1_MOUSE;269774;AP2-associated protein kinase 1;PF00069
AAKB1_HUMAN;5564;5'-AMP-activated protein kinase subunit beta-1;PF16561|PF04739
AAKB1_MOUSE;19079;5'-AMP-activated protein kinase subunit beta-1;PF16561|PF04739
AAKB2_HUMAN;5565;5'-AMP-activated protein kinase subunit beta-2;PF16561|PF04739
AAKB2_MOUSE;108097;5'-AMP-activated protein kinase subunit beta-2;PF16561|PF04739
AAKB_SCHPO;2539130;5'-AMP-activated protein kinase subunit beta;PF16561|PF04739
AAKG1_HUMAN;5571;5'-AMP-activated protein kinase subunit gamma-1;PF00571
AAKG1_MOUSE;19082;5'-AMP-activated protein kinase subunit gamma-1;PF00571
AAKG2_HUMAN;51422;5'-AMP-activated protein kinase subunit gamma-2;PF00571
AAKG2_MOUSE;108099;5'-AMP-activated protein kinase subunit gamma-2;PF00571
AAKG3_HUMAN;53632;5'-AMP-activated protein kinase subunit gamma-3;PF00571
AAKG3_MOUSE;241113;5'-AMP-activated protein kinase subunit gamma-3;PF00571
AAMDC_DANRE;553802;Mth938 domain-containing protein;PF04430
AAMDC_HUMAN;28971;Mth938 domain-containing protein;PF04430
AAMDC_MOUSE;66273;Mth938 domain-containing protein;PF04430
AAMP_HUMAN;14;Angio-associated migratory cell protein;PF00400
AAP1_SCHPO;2540163;Amino-acid permease 1;PF00324
AAPK1_CAEEL;176230;5'-AMP-activated protein kinase catalytic subunit alpha-1;PF00069
AAPK1_HUMAN;5562;5'-AMP-activated protein kinase catalytic subunit alpha-1;PF16579|PF00069
AAPK1_MOUSE;105787;5'-AMP-activated protein kinase catalytic subunit alpha-1;PF16579|PF00069
AAPK2_CAEEL;181727;5'-AMP-activated protein kinase catalytic subunit alpha-2;PF16579|PF00069
AAPK2_HUMAN;5563;5'-AMP-activated protein kinase catalytic subunit alpha-2;PF16579|PF00069
AAPK2_MOUSE;108079;5'-AMP-activated protein kinase catalytic subunit alpha-2;PF16579|PF00069
AAR2_CAEEL;184284;Protein AAR2 homolog;PF05282
AAR2_HUMAN;25980;Protein AAR2 homolog;PF05282
AAR2_MOUSE;68295;Protein AAR2 homolog;PF05282
AAR2_SCHPO;2543611;A1 cistron-splicing factor aar2;PF05282
AASD1_DANRE;445178;Alanyl-tRNA editing protein Aarsd1;PF07973
AASD1_HUMAN;100885850;Alanyl-tRNA editing protein Aarsd1;PF01411|PF07973
AASD1_MOUSE;69684;Alanyl-tRNA editing protein Aarsd1;PF01411|PF07973
AASS_HUMAN;10157;Saccharopine dehydrogenase;PF05222|PF16653|PF03435
AASS_MOUSE;30956;Saccharopine dehydrogenase;PF05222|PF16653|PF03435
AAT1_SCHPO;2541042;Amino acid transporter 1;PF00324
AATC2_HUMAN;137362;Putative aspartate aminotransferase, cytoplasmic 2;PF00155
AATC2_MOUSE;76615;Putative aspartate aminotransferase, cytoplasmic 2;PF00155
AATC_CAEEL;181726;Probable aspartate aminotransferase, cytoplasmic;PF00155
AATC_HUMAN;2805;Aspartate aminotransferase, cytoplasmic;PF00155
AATC_MOUSE;14718;Aspartate aminotransferase, cytoplasmic;PF00155
AATC_SCHPO;2543020;Aspartate aminotransferase, cytoplasmic;PF00155
AATF_DROME;33943;Protein Aatf;PF13339|PF08164
AATF_HUMAN;26574;Protein AATF;PF13339|PF08164
AATF_MOUSE;56321;Protein AATF;PF13339|PF08164
AATM_HUMAN;2806;Aspartate aminotransferase, mitochondrial;PF00155
AATM_MOUSE;14719;Aspartate aminotransferase, mitochondrial;PF00155
AATM_SCHPO;2541186;Aspartate aminotransferase, mitochondrial;PF00155
AATR1_SCHPO;2543350;Aromatic amino acid aminotransferase C56E4.03;PF00155
AATR2_SCHPO;2540092;Aromatic amino acid aminotransferase C1773.13;PF00155
AATR3_SCHPO;2538779;Aromatic amino acid aminotransferase C569.07;PF00155
AB12B_HUMAN;145447;Protein ABHD12B;PF12146
AB17A_HUMAN;81926;Protein ABHD17A;PF12146
AB17A_MOUSE;216169;Protein ABHD17A;PF12146
AB17B_HUMAN;51104;Protein ABHD17B;PF12146
AB17B_MOUSE;226016;Protein ABHD17B;PF12146
AB17C_DANRE;393126;Protein ABHD17C;PF12146
AB17C_HUMAN;58489;Protein ABHD17C;PF12146
AB17C_MOUSE;70178;Protein ABHD17C;PF12146
AB1IP_DANRE;393607;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;PF00169|PF00788
AB1IP_HUMAN;54518;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;PF00169|PF00788
AB1IP_MOUSE;54519;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;PF00169|PF00788
ABC1_SCHPO;2542640;ATP-binding cassette transporter abc1;PF00664|PF00005
ABC2_SCHPO;2543193;ATP-binding cassette transporter abc2;PF00664|PF00005
ABC3A_HUMAN;100913187;DNA dC->dU-editing enzyme APOBEC-3A;PF08210
ABC3B_HUMAN;9582;DNA dC->dU-editing enzyme APOBEC-3B;PF08210
ABC3C_HUMAN;27350;DNA dC->dU-editing enzyme APOBEC-3C;PF08210
ABC3F_HUMAN;200316;DNA dC->dU-editing enzyme APOBEC-3F;PF08210
ABC3G_HUMAN;60489;DNA dC->dU-editing enzyme APOBEC-3G;PF08210
ABC3H_HUMAN;164668;DNA dC->dU-editing enzyme APOBEC-3H;PF08210
ABC3_SCHPO;2540937;ATP-binding cassette transporter abc3;PF00664|PF00005
ABC4_SCHPO;2543059;ATP-binding cassette transporter abc4;PF00664|PF00005
ABC8A_MOUSE;217258;ATP-binding cassette sub-family A member 8-A;PF00005
ABC8B_MOUSE;27404;ATP-binding cassette sub-family A member 8-B;PF00005
ABCA1_HUMAN;19;ATP-binding cassette sub-family A member 1;PF00005
ABCA1_MOUSE;11303;ATP-binding cassette sub-family A member 1;PF00005
ABCA2_HUMAN;20;ATP-binding cassette sub-family A member 2;PF00005
ABCA3_HUMAN;21;ATP-binding cassette sub-family A member 3;PF00005
ABCA3_MOUSE;27410;ATP-binding cassette sub-family A member 3;PF00005
ABCA4_HUMAN;24;Retinal-specific ATP-binding cassette transporter;PF00005
ABCA4_MOUSE;11304;Retinal-specific ATP-binding cassette transporter;PF00005
ABCA5_HUMAN;23461;ATP-binding cassette sub-family A member 5;PF00005
ABCA5_MOUSE;217265;ATP-binding cassette sub-family A member 5;PF00005
ABCA6_HUMAN;23460;ATP-binding cassette sub-family A member 6;PF00005
ABCA6_MOUSE;76184;ATP-binding cassette sub-family A member 6;PF00005
ABCA7_HUMAN;10347;ATP-binding cassette sub-family A member 7;PF00005
ABCA7_MOUSE;27403;ATP-binding cassette sub-family A member 7;PF00005
ABCA8_HUMAN;10351;ATP-binding cassette sub-family A member 8;PF00005
ABCA9_HUMAN;10350;ATP-binding cassette sub-family A member 9;PF00005
ABCA9_MOUSE;217262;ATP-binding cassette sub-family A member 9;PF00005
ABCAA_HUMAN;10349;ATP-binding cassette sub-family A member 10;PF00005
ABCAC_HUMAN;26154;ATP-binding cassette sub-family A member 12;PF00005
ABCAD_HUMAN;154664;ATP-binding cassette sub-family A member 13;PF00005
ABCAD_MOUSE;268379;ATP-binding cassette sub-family A member 13;PF00005
ABCAH_MOUSE;381072;ATP-binding cassette sub-family A member 17;PF00005
ABCB5_HUMAN;340273;ATP-binding cassette sub-family B member 5;PF00664|PF00005
ABCB5_MOUSE;77706;ATP-binding cassette sub-family B member 5;PF00664|PF00005
ABCB6_HUMAN;10058;ATP-binding cassette sub-family B member 6, mitochondrial;PF00664|PF00005|PF16185
