id_Uniprot;id_ENSEMBL;protein_recommended_name;id_pfam
1B41_HUMAN;ENSG00000223532;HLA class I histocompatibility antigen, B-41 alpha chain;PF07654|PF00129|PF06623
1B42_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-42 alpha chain;PF07654|PF00129|PF06623
1B44_HUMAN;ENSG00000228964;HLA class I histocompatibility antigen, B-44 alpha chain;PF07654|PF00129|PF06623
1B45_HUMAN;ENSG00000232126;HLA class I histocompatibility antigen, B-45 alpha chain;PF07654|PF00129|PF06623
1B46_HUMAN;ENSG00000232126;HLA class I histocompatibility antigen, B-46 alpha chain;PF07654|PF00129|PF06623
1B47_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-47 alpha chain;PF07654|PF00129|PF06623
1B48_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-48 alpha chain;PF07654|PF00129|PF06623
1B49_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-49 alpha chain;PF07654|PF00129|PF06623
1B50_HUMAN;ENSG00000232126;HLA class I histocompatibility antigen, B-50 alpha chain;PF07654|PF00129|PF06623
1B51_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-51 alpha chain;PF07654|PF00129|PF06623
1B52_HUMAN;ENSG00000232126;HLA class I histocompatibility antigen, B-52 alpha chain;PF07654|PF00129|PF06623
1B53_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-53 alpha chain;PF07654|PF00129|PF06623
1B54_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-54 alpha chain;PF07654|PF00129|PF06623
1B55_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-55 alpha chain;PF07654|PF00129|PF06623
1B56_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-56 alpha chain;PF07654|PF00129|PF06623
1B57_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-57 alpha chain;PF07654|PF00129|PF06623
1B58_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-58 alpha chain;PF07654|PF00129|PF06623
1B59_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-59 alpha chain;PF07654|PF00129|PF06623
1B67_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-67 alpha chain;PF07654|PF00129|PF06623
1B73_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-73 alpha chain;PF07654|PF00129|PF06623
1B78_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-78 alpha chain;PF07654|PF00129|PF06623
1B81_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-81 alpha chain;PF07654|PF00129|PF06623
1B82_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-82 alpha chain;PF07654|PF00129|PF06623
1C01_HUMAN;ENSG00000237022;HLA class I histocompatibility antigen, Cw-1 alpha chain;PF07654|PF00129|PF06623
1C02_HUMAN;ENSG00000228299;HLA class I histocompatibility antigen, Cw-2 alpha chain;PF07654|PF00129|PF06623
1C03_HUMAN;ENSG00000225691;HLA class I histocompatibility antigen, Cw-3 alpha chain;PF07654|PF00129|PF06623
1C04_HUMAN;ENSG00000206435;HLA class I histocompatibility antigen, Cw-4 alpha chain;PF07654|PF00129|PF06623
1C05_HUMAN;ENSG00000206435;HLA class I histocompatibility antigen, Cw-5 alpha chain;PF07654|PF00129|PF06623
1C06_HUMAN;ENSG00000228299;HLA class I histocompatibility antigen, Cw-6 alpha chain;PF07654|PF00129|PF06623
1C07_HUMAN;ENSG00000204525;HLA class I histocompatibility antigen, Cw-7 alpha chain;PF07654|PF00129|PF06623
1C08_HUMAN;ENSG00000206435;HLA class I histocompatibility antigen, Cw-8 alpha chain;PF07654|PF00129|PF06623
1C12_HUMAN;ENSG00000228299;HLA class I histocompatibility antigen, Cw-12 alpha chain;PF07654|PF00129|PF06623
1C14_HUMAN;ENSG00000237022;HLA class I histocompatibility antigen, Cw-14 alpha chain;PF07654|PF00129|PF06623
1C15_HUMAN;ENSG00000206435;HLA class I histocompatibility antigen, Cw-15 alpha chain;PF07654|PF00129|PF06623
1C16_HUMAN;ENSG00000237022;HLA class I histocompatibility antigen, Cw-16 alpha chain;PF07654|PF00129|PF06623
1C17_HUMAN;ENSG00000206435;HLA class I histocompatibility antigen, Cw-17 alpha chain;PF07654|PF00129|PF06623
1C18_HUMAN;ENSG00000228299;HLA class I histocompatibility antigen, Cw-18 alpha chain;PF07654|PF00129|PF06623
2A5A_HUMAN;ENSG00000066027;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform;PF01603
2A5B_HUMAN;ENSG00000068971;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform;PF01603
2A5D_HUMAN;ENSG00000112640;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;PF01603
2A5E_HUMAN;ENSG00000154001;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform;PF01603
2A5G_HUMAN;ENSG00000078304;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PF01603
2AAA_HUMAN;ENSG00000105568;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;PF02985
2AAB_HUMAN;ENSG00000137713;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;PF02985
2B11_HUMAN;ENSG00000196126;HLA class II histocompatibility antigen, DRB1-1 beta chain;PF07654|PF00969
2B13_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-3 chain;PF07654|PF00969
2B14_HUMAN;ENSG00000228080;HLA class II histocompatibility antigen, DRB1-4 beta chain;PF07654|PF00969
2B17_HUMAN;ENSG00000229074;HLA class II histocompatibility antigen, DRB1-7 beta chain;PF07654|PF00969
2B18_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-8 beta chain;PF07654|PF00969
2B19_HUMAN;ENSG00000229074;HLA class II histocompatibility antigen, DRB1-9 beta chain;PF07654|PF00969
2B1A_HUMAN;ENSG00000228080;HLA class II histocompatibility antigen, DRB1-10 beta chain;PF07654|PF00969
2B1B_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-11 beta chain;PF07654|PF00969
2B1C_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-12 beta chain;PF07654|PF00969
2B1D_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-13 beta chain;PF07654|PF00969
2B1E_HUMAN;ENSG00000206306;HLA class II histocompatibility antigen, DRB1-14 beta chain;PF07654|PF00969
2B1F_HUMAN;ENSG00000196126;HLA class II histocompatibility antigen, DRB1-15 beta chain;PF07654|PF00969
2B1G_HUMAN;ENSG00000196126;HLA class II histocompatibility antigen, DRB1-16 beta chain;PF07654|PF00969
3BHS1_HUMAN;ENSG00000203857;Steroid Delta-isomerase;PF01073
3BHS2_HUMAN;ENSG00000203859;Steroid Delta-isomerase;PF01073
3BHS7_HUMAN;ENSG00000099377;3 beta-hydroxysteroid dehydrogenase type 7;PF01073
3BP1_HUMAN;ENSG00000100092;SH3 domain-binding protein 1;PF03114|PF00620
3BP2_HUMAN;ENSG00000087266;SH3 domain-binding protein 2;PF00169|PF00017
3BP5L_HUMAN;ENSG00000175137;SH3 domain-binding protein 5-like;PF05276
3BP5_HUMAN;ENSG00000131370;SH3 domain-binding protein 5;PF05276
3HAO_HUMAN;ENSG00000162882;3-hydroxyanthranilate 3,4-dioxygenase;PF06052
3HIDH_HUMAN;ENSG00000106049;3-hydroxyisobutyrate dehydrogenase, mitochondrial;PF14833|PF03446
3MG_HUMAN;ENSG00000103152;DNA-3-methyladenine glycosylase;PF02245
41_HUMAN;ENSG00000159023;Protein 4.1;PF05902|PF08736|PF09380|PF00373|PF09379|PF04382
4EBP1_HUMAN;ENSG00000187840;Eukaryotic translation initiation factor 4E-binding protein 1;PF05456
4EBP2_HUMAN;ENSG00000148730;Eukaryotic translation initiation factor 4E-binding protein 2;PF05456
4EBP3_HUMAN;ENSG00000243056;Eukaryotic translation initiation factor 4E-binding protein 3;PF05456
4ET_HUMAN;ENSG00000184708;Eukaryotic translation initiation factor 4E transporter;PF10477
4F2_HUMAN;ENSG00000168003;4F2 cell-surface antigen heavy chain;PF00128|PF16028
5HT1A_HUMAN;ENSG00000178394;5-hydroxytryptamine receptor 1A;PF00001
5HT1B_HUMAN;ENSG00000135312;5-hydroxytryptamine receptor 1B;PF00001
5HT1D_HUMAN;ENSG00000179546;5-hydroxytryptamine receptor 1D;PF00001
5HT1E_HUMAN;ENSG00000168830;5-hydroxytryptamine receptor 1E;PF00001
5HT1F_HUMAN;ENSG00000179097;5-hydroxytryptamine receptor 1F;PF00001
5HT2A_HUMAN;ENSG00000102468;5-hydroxytryptamine receptor 2A;PF00001
5HT2B_HUMAN;ENSG00000135914;5-hydroxytryptamine receptor 2B;PF00001
5HT2C_HUMAN;ENSG00000147246;5-hydroxytryptamine receptor 2C;PF00001
5HT3A_HUMAN;ENSG00000166736;5-hydroxytryptamine receptor 3A;PF02931|PF02932
5HT3B_HUMAN;ENSG00000149305;5-hydroxytryptamine receptor 3B;PF02931|PF02932
5HT3C_HUMAN;ENSG00000178084;5-hydroxytryptamine receptor 3C;PF02931|PF02932
5HT3D_HUMAN;ENSG00000186090;5-hydroxytryptamine receptor 3D;PF02931|PF02932
5HT3E_HUMAN;ENSG00000186038;5-hydroxytryptamine receptor 3E;PF02931|PF02932
5HT4R_HUMAN;ENSG00000164270;5-hydroxytryptamine receptor 4;PF00001
5HT5A_HUMAN;ENSG00000157219;5-hydroxytryptamine receptor 5A;PF00001
5HT6R_HUMAN;ENSG00000158748;5-hydroxytryptamine receptor 6;PF00001
5HT7R_HUMAN;ENSG00000148680;5-hydroxytryptamine receptor 7;PF00001
5NT1A_HUMAN;ENSG00000116981;Cytosolic 5'-nucleotidase 1A;PF06189
5NT1B_HUMAN;ENSG00000185013;Cytosolic 5'-nucleotidase 1B;PF06189
5NT3A_HUMAN;ENSG00000122643;Cytosolic 5'-nucleotidase 3A {ECO:0000305|PubMed:15968458, ECO:0000305|PubMed:24603684};PF05822
5NT3B_HUMAN;ENSG00000141698;7-methylguanosine phosphate-specific 5'-nucleotidase;PF05822
5NTC_HUMAN;ENSG00000076685;Cytosolic purine 5'-nucleotidase;PF05761
5NTD_HUMAN;ENSG00000135318;5'-nucleotidase;PF02872|PF00149
68MP_HUMAN;ENSG00000156411;6.8 kDa mitochondrial proteolipid;PF08039
6PGD_HUMAN;ENSG00000142657;6-phosphogluconate dehydrogenase, decarboxylating;PF00393|PF03446
6PGL_HUMAN;ENSG00000130313;6-phosphogluconolactonase;PF01182
7B2_HUMAN;ENSG00000166922;Neuroendocrine protein 7B2;PF05281
8ODP_HUMAN;ENSG00000106268;7,8-dihydro-8-oxoguanine triphosphatase;PF00293
A14EL_HUMAN;ENSG00000268223;ARL14 effector protein-like;PF14949
A16A1_HUMAN;ENSG00000161618;Aldehyde dehydrogenase family 16 member A1;PF00171
A16L1_HUMAN;ENSG00000085978;Autophagy-related protein 16-1;PF08614|PF00400
A16L2_HUMAN;ENSG00000168010;Autophagy-related protein 16-2;PF08614|PF00400
A1AG1_HUMAN;ENSG00000229314;Alpha-1-acid glycoprotein 1;PF00061
A1AG2_HUMAN;ENSG00000228278;Alpha-1-acid glycoprotein 2;PF00061
A1AT_HUMAN;ENSG00000197249;Alpha-1-antitrypsin;PF00079
A1BG_HUMAN;ENSG00000121410;Alpha-1B-glycoprotein;PF13895
A1CF_HUMAN;ENSG00000148584;APOBEC1 complementation factor;PF00076
A20A1_HUMAN;ENSG00000260691;Ankyrin repeat domain-containing protein 20A1;PF12796
A20A2_HUMAN;ENSG00000183148;Ankyrin repeat domain-containing protein 20A2;PF12796
A20A3_HUMAN;ENSG00000276203;Ankyrin repeat domain-containing protein 20A3;PF12796
A20A4_HUMAN;ENSG00000172014;Ankyrin repeat domain-containing protein 20A4;PF12796
A2AP_HUMAN;ENSG00000167711;Alpha-2-antiplasmin;PF00079
A2GL_HUMAN;ENSG00000171236;Leucine-rich alpha-2-glycoprotein;PF13855
A2MG_HUMAN;ENSG00000175899;Alpha-2-macroglobulin;PF00207|PF07678|PF01835|PF07703|PF07677|PF10569
A2ML1_HUMAN;ENSG00000166535;Alpha-2-macroglobulin-like protein 1;PF00207|PF07678|PF01835|PF07703|PF07677|PF10569
A30BL_HUMAN;ENSG00000163046;Putative ankyrin repeat domain-containing protein 30B-like;PF12796
A3LT2_HUMAN;ENSG00000184389;Alpha-1,3-galactosyltransferase 2;PF03414
A4GAT_HUMAN;ENSG00000128274;Lactosylceramide 4-alpha-galactosyltransferase;PF04572|PF04488
A4GCT_HUMAN;ENSG00000118017;Alpha-1,4-N-acetylglucosaminyltransferase;PF04572|PF04488
A4_HUMAN;ENSG00000142192;Amyloid-beta A4 protein;PF10515|PF12924|PF12925|PF02177|PF03494|PF00014
AA1R_HUMAN;ENSG00000163485;Adenosine receptor A1;PF00001
AA2AR_HUMAN;ENSG00000128271;Adenosine receptor A2a;PF00001
AA2BR_HUMAN;ENSG00000170425;Adenosine receptor A2b;PF00001
AA3R_HUMAN;ENSG00000282608;Adenosine receptor A3;PF00001
AAA1_HUMAN;ENSG00000130876;Asc-type amino acid transporter 1;PF13520
AAAD_HUMAN;ENSG00000114771;Arylacetamide deacetylase;PF07859
AAAS_HUMAN;ENSG00000094914;Aladin;PF00400
AAAT_HUMAN;ENSG00000105281;Neutral amino acid transporter B(0);PF00375
AACS_HUMAN;ENSG00000081760;Acetoacetyl-CoA synthetase;PF16177|PF00501
AACT_HUMAN;ENSG00000196136;Alpha-1-antichymotrypsin;PF00079
AADAT_HUMAN;ENSG00000109576;Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial;PF00155
AAED1_HUMAN;ENSG00000158122;Thioredoxin-like protein AAED1;PF13911
AAK1_HUMAN;ENSG00000115977;AP2-associated protein kinase 1;PF00069
AAKB1_HUMAN;ENSG00000111725;5'-AMP-activated protein kinase subunit beta-1;PF16561|PF04739
AAKB2_HUMAN;ENSG00000131791;5'-AMP-activated protein kinase subunit beta-2;PF16561|PF04739
AAKG1_HUMAN;ENSG00000181929;5'-AMP-activated protein kinase subunit gamma-1;PF00571
AAKG2_HUMAN;ENSG00000106617;5'-AMP-activated protein kinase subunit gamma-2;PF00571
AAKG3_HUMAN;ENSG00000115592;5'-AMP-activated protein kinase subunit gamma-3;PF00571
AAMDC_HUMAN;ENSG00000087884;Mth938 domain-containing protein;PF04430
AAMP_HUMAN;ENSG00000127837;Angio-associated migratory cell protein;PF00400
AAPK1_HUMAN;ENSG00000132356;5'-AMP-activated protein kinase catalytic subunit alpha-1;PF16579|PF00069
AAPK2_HUMAN;ENSG00000162409;5'-AMP-activated protein kinase catalytic subunit alpha-2;PF16579|PF00069
AAR2_HUMAN;ENSG00000131043;Protein AAR2 homolog;PF05282
AASD1_HUMAN;ENSG00000108825;Alanyl-tRNA editing protein Aarsd1;PF01411|PF07973
AASS_HUMAN;ENSG00000008311;Saccharopine dehydrogenase;PF05222|PF16653|PF03435
AATC2_HUMAN;ENSG00000169154;Putative aspartate aminotransferase, cytoplasmic 2;PF00155
AATC_HUMAN;ENSG00000120053;Aspartate aminotransferase, cytoplasmic;PF00155
AATF_HUMAN;ENSG00000275700;Protein AATF;PF13339|PF08164
AATM_HUMAN;ENSG00000125166;Aspartate aminotransferase, mitochondrial;PF00155
AB12B_HUMAN;ENSG00000131969;Protein ABHD12B;PF12146
AB17A_HUMAN;ENSG00000129968;Protein ABHD17A;PF12146
AB17B_HUMAN;ENSG00000107362;Protein ABHD17B;PF12146
AB17C_HUMAN;ENSG00000136379;Protein ABHD17C;PF12146
AB1IP_HUMAN;ENSG00000077420;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;PF00169|PF00788
ABC3A_HUMAN;ENSG00000128383;DNA dC->dU-editing enzyme APOBEC-3A;PF08210
ABC3B_HUMAN;ENSG00000179750;DNA dC->dU-editing enzyme APOBEC-3B;PF08210
ABC3C_HUMAN;ENSG00000244509;DNA dC->dU-editing enzyme APOBEC-3C;PF08210
ABC3D_HUMAN;ENSG00000243811;DNA dC->dU-editing enzyme APOBEC-3D;PF08210
ABC3F_HUMAN;ENSG00000128394;DNA dC->dU-editing enzyme APOBEC-3F;PF08210
ABC3G_HUMAN;ENSG00000239713;DNA dC->dU-editing enzyme APOBEC-3G;PF08210
ABC3H_HUMAN;ENSG00000100298;DNA dC->dU-editing enzyme APOBEC-3H;PF08210
ABCA1_HUMAN;ENSG00000165029;ATP-binding cassette sub-family A member 1;PF00005
ABCA2_HUMAN;ENSG00000107331;ATP-binding cassette sub-family A member 2;PF00005
ABCA3_HUMAN;ENSG00000167972;ATP-binding cassette sub-family A member 3;PF00005
ABCA4_HUMAN;ENSG00000198691;Retinal-specific ATP-binding cassette transporter;PF00005
ABCA5_HUMAN;ENSG00000154265;ATP-binding cassette sub-family A member 5;PF00005
ABCA6_HUMAN;ENSG00000154262;ATP-binding cassette sub-family A member 6;PF00005
ABCA7_HUMAN;ENSG00000064687;ATP-binding cassette sub-family A member 7;PF00005
ABCA8_HUMAN;ENSG00000141338;ATP-binding cassette sub-family A member 8;PF00005
ABCA9_HUMAN;ENSG00000154258;ATP-binding cassette sub-family A member 9;PF00005
ABCAA_HUMAN;ENSG00000154263;ATP-binding cassette sub-family A member 10;PF00005
ABCAC_HUMAN;ENSG00000144452;ATP-binding cassette sub-family A member 12;PF00005
ABCAD_HUMAN;ENSG00000179869;ATP-binding cassette sub-family A member 13;PF00005
ABCB5_HUMAN;ENSG00000004846;ATP-binding cassette sub-family B member 5;PF00664|PF00005
ABCB6_HUMAN;ENSG00000115657;ATP-binding cassette sub-family B member 6, mitochondrial;PF00664|PF00005|PF16185
ABCB7_HUMAN;ENSG00000131269;ATP-binding cassette sub-family B member 7, mitochondrial;PF00664|PF00005
ABCB8_HUMAN;ENSG00000197150;ATP-binding cassette sub-family B member 8, mitochondrial;PF00664|PF00005
ABCB9_HUMAN;ENSG00000150967;ATP-binding cassette sub-family B member 9;PF00664|PF00005
ABCBA_HUMAN;ENSG00000135776;ATP-binding cassette sub-family B member 10, mitochondrial;PF00664|PF00005
ABCBB_HUMAN;ENSG00000073734;Bile salt export pump;PF00664|PF00005
ABCC8_HUMAN;ENSG00000006071;ATP-binding cassette sub-family C member 8;PF00664|PF00005
ABCC9_HUMAN;ENSG00000069431;ATP-binding cassette sub-family C member 9;PF00664|PF00005
ABCCB_HUMAN;ENSG00000121270;ATP-binding cassette sub-family C member 11;PF00664|PF00005
ABCD1_HUMAN;ENSG00000101986;ATP-binding cassette sub-family D member 1;PF06472|PF00005
ABCD2_HUMAN;ENSG00000173208;ATP-binding cassette sub-family D member 2;PF06472|PF00005
ABCD3_HUMAN;ENSG00000117528;ATP-binding cassette sub-family D member 3;PF06472|PF00005
ABCD4_HUMAN;ENSG00000119688;ATP-binding cassette sub-family D member 4;PF06472|PF00005
ABCE1_HUMAN;ENSG00000164163;ATP-binding cassette sub-family E member 1;PF00005|PF00037|PF04068
ABCF1_HUMAN;ENSG00000204574;ATP-binding cassette sub-family F member 1;PF00005|PF12848
ABCF2_HUMAN;ENSG00000033050;ATP-binding cassette sub-family F member 2;PF00005|PF12848
ABCF3_HUMAN;ENSG00000161204;ATP-binding cassette sub-family F member 3;PF00005|PF12848
ABCG1_HUMAN;ENSG00000160179;ATP-binding cassette sub-family G member 1;PF01061|PF00005
ABCG2_HUMAN;ENSG00000118777;ATP-binding cassette sub-family G member 2;PF01061|PF00005
ABCG4_HUMAN;ENSG00000172350;ATP-binding cassette sub-family G member 4;PF01061|PF00005
ABCG5_HUMAN;ENSG00000138075;ATP-binding cassette sub-family G member 5;PF01061|PF00005
ABCG8_HUMAN;ENSG00000143921;ATP-binding cassette sub-family G member 8;PF01061|PF00005
ABD12_HUMAN;ENSG00000100997;Monoacylglycerol lipase ABHD12;PF12146
ABD18_HUMAN;ENSG00000164074;Protein ABHD18;PF09752
ABEC1_HUMAN;ENSG00000111701;C->U-editing enzyme APOBEC-1;PF08210
ABEC2_HUMAN;ENSG00000124701;C->U-editing enzyme APOBEC-2;PF08210
ABEC4_HUMAN;ENSG00000173627;Putative C->U-editing enzyme APOBEC-4;PF08210
ABH15_HUMAN;ENSG00000168792;Protein ABHD15;PF12146
ABHD1_HUMAN;ENSG00000143994;Protein ABHD1;PF00561
ABHD2_HUMAN;ENSG00000140526;Monoacylglycerol lipase ABHD2;PF00561
ABHD3_HUMAN;ENSG00000158201;Phospholipase ABHD3;PF00561
ABHD4_HUMAN;ENSG00000100439;Protein ABHD4;PF00561
ABHD5_HUMAN;ENSG00000011198;1-acylglycerol-3-phosphate O-acyltransferase ABHD5;PF00561
ABHD6_HUMAN;ENSG00000163686;Monoacylglycerol lipase ABHD6;PF00561
ABHD8_HUMAN;ENSG00000127220;Protein ABHD8;PF00561
ABHDA_HUMAN;ENSG00000144827;Mycophenolic acid acyl-glucuronide esterase, mitochondrial;PF00561
ABHDB_HUMAN;ENSG00000106077;Protein ABHD11;PF12697
ABHDD_HUMAN;ENSG00000139826;Protein ABHD13;PF12146
ABHEA_HUMAN;ENSG00000248487;Protein ABHD14A;PF12697
ABHEB_HUMAN;ENSG00000114779;Protein ABHD14B;PF12697
ABHGA_HUMAN;ENSG00000204427;Protein ABHD16A;PF00561
ABHGB_HUMAN;ENSG00000183260;Protein ABHD16B;PF00561
ABI1_HUMAN;ENSG00000136754;Abl interactor 1;PF07815|PF00018
ABI2_HUMAN;ENSG00000138443;Abl interactor 2;PF07815|PF14604
ABI3_HUMAN;ENSG00000108798;ABI gene family member 3;PF07815|PF14604
ABL1_HUMAN;ENSG00000097007;Tyrosine-protein kinase ABL1;PF08919|PF07714|PF00017|PF00018
ABL2_HUMAN;ENSG00000143322;Abelson tyrosine-protein kinase 2;PF08919|PF07714|PF00017|PF00018
ABLM1_HUMAN;ENSG00000099204;Actin-binding LIM protein 1;PF16182|PF00412|PF02209
ABLM2_HUMAN;ENSG00000163995;Actin-binding LIM protein 2;PF16182|PF00412|PF02209
ABLM3_HUMAN;ENSG00000173210;Actin-binding LIM protein 3;PF16182|PF00412|PF02209
ABRAL_HUMAN;ENSG00000146386;Costars family protein ABRACL;PF14705
ABRA_HUMAN;ENSG00000174429;Actin-binding Rho-activating protein;PF14705
ABR_HUMAN;ENSG00000159842;Active breakpoint cluster region-related protein;PF00168|PF00169|PF00620|PF00621
ABTB1_HUMAN;ENSG00000114626;Ankyrin repeat and BTB/POZ domain-containing protein 1;PF12796|PF00651
ABTB2_HUMAN;ENSG00000166016;Ankyrin repeat and BTB/POZ domain-containing protein 2;PF12796|PF00651
ACACA_HUMAN;ENSG00000275176;Biotin carboxylase;PF08326|PF02785|PF00289|PF00364|PF01039|PF02786
ACACB_HUMAN;ENSG00000076555;Biotin carboxylase;PF08326|PF02785|PF00289|PF00364|PF01039|PF02786
ACAD8_HUMAN;ENSG00000151498;Isobutyryl-CoA dehydrogenase, mitochondrial;PF00441|PF02770|PF02771
